Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,date,Time Period End Date,Value,Number of Respondents,value1,LowCI,HighCI,Confidence Interval,Quartile Range,value2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alaska,Alaska,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,16.7,2141,357.547,14.2,19.5,14.2 - 19.5,12.2-18.4,2410
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alaska,Alaska,2,14,"Sep 2 - Sep 14, 2020",09/02/2020,09/14/2020,15,2112,316.8,12.4,17.8,12.4 - 17.8,11.2-18.8,1997
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alaska,Alaska,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,17.1,1959,334.989,14.3,20.2,14.3 - 20.2,10.1-19.1,2063
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alaska,Alaska,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,15.5,1925,298.375,13.4,17.7,13.4 - 17.7,13.0-19.0,2566
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alaska,Alaska,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,15.8,1769,279.502,13.3,18.6,13.3 - 18.6,10.0-19.1,3824
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alaska,Alaska,3 (Oct 28 ��� Dec 21),18,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,18.3,1349,246.867,15.3,21.6,15.3 - 21.6,13.7-19.7,6377
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alaska,Alaska,3 (Oct 28 ��� Dec 21),19,"Nov 11 - Nov 23, 2020",11/11/2020,11/23/2020,19.7,1717,338.249,15.9,24.1,15.9 - 24.1,13.2-20.1,10326
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alaska,Alaska,3 (Oct 28 ��� Dec 21),20,"Nov 25 - Dec 7, 2020",11/25/2020,12/07/2020,16.6,1697,281.702,14.1,19.4,14.1 - 19.4,13.2-20.2,14876
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alaska,Alaska,3 (Oct 28 ��� Dec 21),21,"Dec 9 - Dec 21, 2020",12/09/2020,12/21/2020,18.4,1516,278.944,15,22.1,15.0 - 22.1,12.5-20.1,17929
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alaska,Alaska,3 (Jan 6 ��� Mar 29),22,"Jan 6 - Jan 18, 2021",01/06/2021,01/18/2021,19.2,1378,264.576,16.3,22.4,16.3 - 22.4,15.1-20.0,10207
