Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,date,Time Period End Date,Value,Number of Respondents,value1,LowCI,HighCI,Confidence Interval,Quartile Range,value2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Arkansas,Arkansas,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,24.1,1486,358.126,20.8,27.7,20.8 - 27.7,22.6-26.8,19551
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Arkansas,Arkansas,2,14,"Sep 2 - Sep 14, 2020",09/02/2020,09/14/2020,25.7,1452,373.164,21.9,29.8,21.9 - 29.8,22.9-30.1,16731
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Arkansas,Arkansas,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,20.3,1295,262.885,17.2,23.7,17.2 - 23.7,19.2-21.3,18732
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Arkansas,Arkansas,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,25,1299,324.75,21.4,29,21.4 - 29.0,22.5-32.1,22200
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Arkansas,Arkansas,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,25.1,1150,288.65,21.2,29.3,21.2 - 29.3,24.2-27.2,23889
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Arkansas,Arkansas,3 (Oct 28 ��� Dec 21),18,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,23.6,744,175.584,19.7,28,19.7 - 28.0,21.8-23.8,25885
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Arkansas,Arkansas,3 (Oct 28 ��� Dec 21),19,"Nov 11 - Nov 23, 2020",11/11/2020,11/23/2020,31.4,900,282.6,26.3,36.9,26.3 - 36.9,25.1-31.4,32030
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Arkansas,Arkansas,3 (Oct 28 ��� Dec 21),20,"Nov 25 - Dec 7, 2020",11/25/2020,12/07/2020,27.5,979,269.225,22.8,32.6,22.8 - 32.6,25.1-33.0,42598
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Arkansas,Arkansas,3 (Oct 28 ��� Dec 21),21,"Dec 9 - Dec 21, 2020",12/09/2020,12/21/2020,26.4,845,223.08,21.8,31.4,21.8 - 31.4,25.6-34.2,52417
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Arkansas,Arkansas,3 (Jan 6 ��� Mar 29),22,"Jan 6 - Jan 18, 2021",01/06/2021,01/18/2021,25.1,926,232.426,21.2,29.3,21.2 - 29.3,24.6-28.5,68268
