Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,date,Time Period End Date,Value,Number of Respondents,value1,LowCI,HighCI,Confidence Interval,Quartile Range,value2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,California,California,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,15.8,8615,1361.17,14.4,17.4,14.4 - 17.4,12.2-18.4,238062
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,California,California,2,14,"Sep 2 - Sep 14, 2020",09/02/2020,09/14/2020,15.9,8581,1364.379,14.5,17.3,14.5 - 17.3,11.2-18.8,192625
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,California,California,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,16.2,7507,1216.134,14.5,18,14.5 - 18.0,10.1-19.1,130296
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,California,California,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,15.3,7073,1082.169,13.5,17.3,13.5 - 17.3,13.0-19.0,102828
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,California,California,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,17,6395,1087.15,14.8,19.4,14.8 - 19.4,10.0-19.1,95059
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,California,California,3 (Oct 28 ��� Dec 21),18,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,18.3,"4,060",742.98,15.2,21.8,15.2 - 21.8,13.7-19.7,101288
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,California,California,3 (Oct 28 ��� Dec 21),19,"Nov 11 - Nov 23, 2020",11/11/2020,11/23/2020,16.3,"5,058",824.454,14.5,18.2,14.5 - 18.2,13.2-20.1,132276
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,California,California,3 (Oct 28 ��� Dec 21),20,"Nov 25 - Dec 7, 2020",11/25/2020,12/07/2020,18,"5,334",960.12,15.9,20.3,15.9 - 20.3,13.2-20.2,239851
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,California,California,3 (Oct 28 ��� Dec 21),21,"Dec 9 - Dec 21, 2020",12/09/2020,12/21/2020,18.6,"5,595",1040.67,16.7,20.6,16.7 - 20.6,12.5-20.1,443340
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,California,California,3 (Jan 6 ��� Mar 29),22,"Jan 6 - Jan 18, 2021",01/06/2021,01/18/2021,16.9,"5,527",934.063,14.6,19.5,14.6 - 19.5,15.1-20.0,1092519
