Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,date,Time Period End Date,Value,Number of Respondents,value1,LowCI,HighCI,Confidence Interval,Quartile Range,value2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Colorado,Colorado,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,17,2690,457.3,15.1,19.1,15.1 - 19.1,12.2-18.4,12999
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Colorado,Colorado,2,14,"Sep 2 - Sep 14, 2020",09/02/2020,09/14/2020,17.8,2763,491.814,15.5,20.3,15.5 - 20.3,11.2-18.8,9495
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Colorado,Colorado,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,21.8,2603,567.454,18.9,24.8,18.9 - 24.8,21.4-22.9,9459
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Colorado,Colorado,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,18.2,2452,446.264,16,20.6,16.0 - 20.6,13.0-19.0,13397
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Colorado,Colorado,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,21.8,2434,530.612,19.2,24.6,19.2 - 24.6,21.2-24.1,19793
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Colorado,Colorado,3 (Oct 28 ��� Dec 21),18,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,22.6,"1,626",367.476,19.4,26,19.4 - 26.0,21.8-23.8,31811
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Colorado,Colorado,3 (Oct 28 ��� Dec 21),19,"Nov 11 - Nov 23, 2020",11/11/2020,11/23/2020,21.9,"2,029",444.351,18.7,25.4,18.7 - 25.4,20.2-22.1,66874
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Colorado,Colorado,3 (Oct 28 ��� Dec 21),20,"Nov 25 - Dec 7, 2020",11/25/2020,12/07/2020,21.9,"2,035",445.665,18.9,25.1,18.9 - 25.1,20.3-23.3,119771
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Colorado,Colorado,3 (Oct 28 ��� Dec 21),21,"Dec 9 - Dec 21, 2020",12/09/2020,12/21/2020,20.1,"1,957",393.357,18,22.5,18.0 - 22.5,12.5-20.1,143614
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Colorado,Colorado,3 (Jan 6 ��� Mar 29),22,"Jan 6 - Jan 18, 2021",01/06/2021,01/18/2021,20.9,"1,661",347.149,17.8,24.4,17.8 - 24.4,20.1-21.9,74687
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Colorado,Colorado,3 (Jan 6 ��� Mar 29),23,"Jan 20 - Feb 1, 2021",01/20/2021,02/01/2021,19.4,"1,959",380.046,16.9,22,16.9 - 22.0,11.2-20.4,61253
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Colorado,Colorado,3 (Jan 6 ��� Mar 29),24,"Feb 3 - Feb 15, 2021",02/03/2021,02/15/2021,18.1,"1,960",354.76,15.9,20.5,15.9 - 20.5,12.1-19.4,52167
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Colorado,Colorado,3 (Jan 6 ��� Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,21.3,"1,922",409.386,18.5,24.4,18.5 - 24.4,19.8-22.6,37724
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Colorado,Colorado,3 (Jan 6 ��� Mar 29),26,"Mar 3 - Mar 15, 2021",03/03/2021,03/15/2021,25.2,"1,901",479.052,20.9,29.9,20.9 - 29.9,23.9-29.8,32495
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Colorado,Colorado,3 (Jan 6 ��� Mar 29),27,"Mar 17 - Mar 29, 2021",03/17/2021,03/29/2021,20.4,"1,871",381.684,17.6,23.5,17.6 - 23.5,19.4-22.2,29144
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Colorado,Colorado,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,21.4,"1,592",340.688,18.9,24.1,18.9 - 24.1,21.1-23.8,38596
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Colorado,Colorado,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,21.6,"1,675",361.8,18.4,25,18.4 - 25.0,20.2-22.7,45991
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Colorado,Colorado,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,21.2,"1,667",353.404,18.2,24.5,18.2 - 24.5,19.1-22.5,44094
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Colorado,Colorado,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,21.5,"1,557",334.755,18.3,24.9,18.3 - 24.9,19.7-22.8,33549
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Colorado,Colorado,3.1,32,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,20,"1,483",296.6,17.2,22.9,17.2 - 22.9,14.4-20.5,20562
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Colorado,Colorado,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,20.5,"1,455",298.275,17.9,23.3,17.9 - 23.3,20.3-23.1,12184
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Colorado,Colorado,3.2,34,"Jul 21 - Aug 2, 2021",07/21/2021,08/02/2021,23.6,"1,850",436.6,20.8,26.6,20.8 - 26.6,21.2-23.8,11822
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Colorado,Colorado,3.2,35,"Aug 4 - Aug 16, 2021",08/04/2021,08/16/2021,22.8,"1,881",428.868,19.2,26.8,19.2 - 26.8,21.5-23.8,18359
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Colorado,Colorado,3.2,36,"Aug 18 - Aug 30, 2021",08/18/2021,08/30/2021,20.3,"1,718",348.754,17.4,23.5,17.4 - 23.5,13.7-20.4,28200
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Colorado,Colorado,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,23.7,"1,793",424.941,20.7,27,20.7 - 27.0,21.1-24.3,40903
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Colorado,Colorado,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,23.1,"1,684",389.004,19.8,26.8,19.8 - 26.8,21.4-24.3,52218
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Colorado,Colorado,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,25.6,"1,713",438.528,22.1,29.4,22.1 - 29.4,24.2-26.3,54531
