Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,date,Time Period End Date,Value,Number of Respondents,value1,LowCI,HighCI,Confidence Interval,Quartile Range,value2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Connecticut,Connecticut,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,18.8,1970,370.36,15.7,22.3,15.7 - 22.3,18.5-20.5,3218
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Connecticut,Connecticut,2,14,"Sep 2 - Sep 14, 2020",09/02/2020,09/14/2020,20,1961,392.2,17.2,23,17.2 - 23.0,18.9-21.2,2998
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Connecticut,Connecticut,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,22.4,1836,411.264,19.7,25.2,19.7 - 25.2,21.4-22.9,3911
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Connecticut,Connecticut,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,19.2,1763,338.496,15.9,22.8,15.9 - 22.8,19.1-20.3,4544
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Connecticut,Connecticut,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,17.7,1599,283.023,15,20.6,15.0 - 20.6,10.0-19.1,6830
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Connecticut,Connecticut,3 (Oct 28 ��� Dec 21),18,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,23.8,988,235.144,18.9,29.1,18.9 - 29.1,21.8-23.8,11798
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Connecticut,Connecticut,3 (Oct 28 ��� Dec 21),19,"Nov 11 - Nov 23, 2020",11/11/2020,11/23/2020,20.1,"1,194",239.994,16.2,24.5,16.2 - 24.5,13.2-20.1,23044
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Connecticut,Connecticut,3 (Oct 28 ��� Dec 21),20,"Nov 25 - Dec 7, 2020",11/25/2020,12/07/2020,20.6,"1,168",240.608,18,23.5,18.0 - 23.5,20.3-23.3,40515
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Connecticut,Connecticut,3 (Oct 28 ��� Dec 21),21,"Dec 9 - Dec 21, 2020",12/09/2020,12/21/2020,21.9,"1,144",250.536,18.6,25.5,18.6 - 25.5,20.2-23.1,57561
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Connecticut,Connecticut,3 (Jan 6 ��� Mar 29),22,"Jan 6 - Jan 18, 2021",01/06/2021,01/18/2021,20.1,"1,166",234.366,16.8,23.8,16.8 - 23.8,20.1-21.9,61196
