Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,date,Time Period End Date,Value,Number of Respondents,value1,LowCI,HighCI,Confidence Interval,Quartile Range,value2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,District of Columbia,District of Columbia,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,18,1387,249.66,13.8,22.8,13.8 - 22.8,12.2-18.4,1927
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,District of Columbia,District of Columbia,2,14,"Sep 2 - Sep 14, 2020",09/02/2020,09/14/2020,19.6,1423,278.908,14.8,25.3,14.8 - 25.3,18.9-21.2,1679
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,District of Columbia,District of Columbia,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,19.1,1341,256.131,15.5,23.1,15.5 - 23.1,10.1-19.1,1418
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,District of Columbia,District of Columbia,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,14.2,1226,174.092,11.3,17.5,11.3 - 17.5,13.0-19.0,1277
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,District of Columbia,District of Columbia,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,16.9,1236,208.884,12.9,21.5,12.9 - 21.5,10.0-19.1,1445
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,District of Columbia,District of Columbia,3 (Oct 28 ��� Dec 21),18,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,19.7,795,156.615,13.5,27.2,13.5 - 27.2,13.7-19.7,1673
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,District of Columbia,District of Columbia,3 (Oct 28 ��� Dec 21),19,"Nov 11 - Nov 23, 2020",11/11/2020,11/23/2020,16.8,882,148.176,12.6,21.7,12.6 - 21.7,13.2-20.1,2311
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,District of Columbia,District of Columbia,3 (Oct 28 ��� Dec 21),20,"Nov 25 - Dec 7, 2020",11/25/2020,12/07/2020,20.2,909,183.618,14.4,27.2,14.4 - 27.2,13.2-20.2,3610
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,District of Columbia,District of Columbia,3 (Oct 28 ��� Dec 21),21,"Dec 9 - Dec 21, 2020",12/09/2020,12/21/2020,20.3,901,182.903,16,25.2,16.0 - 25.2,20.2-23.1,5681
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,District of Columbia,District of Columbia,3 (Jan 6 ��� Mar 29),22,"Jan 6 - Jan 18, 2021",01/06/2021,01/18/2021,19.8,787,155.826,14.9,25.4,14.9 - 25.4,15.1-20.0,6893
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,District of Columbia,District of Columbia,3 (Jan 6 ��� Mar 29),23,"Jan 20 - Feb 1, 2021",01/20/2021,02/01/2021,20.2,"1,017",205.434,14.2,27.4,14.2 - 27.4,11.2-20.4,7503
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,District of Columbia,District of Columbia,3 (Jan 6 ��� Mar 29),24,"Feb 3 - Feb 15, 2021",02/03/2021,02/15/2021,20.5,936,191.88,14.9,27.1,14.9 - 27.1,19.5-22.8,7033
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,District of Columbia,District of Columbia,3 (Jan 6 ��� Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,18.5,980,181.3,14.7,22.8,14.7 - 22.8,12.2-19.7,4921
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,District of Columbia,District of Columbia,3 (Jan 6 ��� Mar 29),26,"Mar 3 - Mar 15, 2021",03/03/2021,03/15/2021,20.2,974,196.748,15,26.1,15.0 - 26.1,11.3-20.2,3680
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,District of Columbia,District of Columbia,3 (Jan 6 ��� Mar 29),27,"Mar 17 - Mar 29, 2021",03/17/2021,03/29/2021,18.7,"1,036",193.732,13.7,24.6,13.7 - 24.6,11.6-19.3,3680
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,District of Columbia,District of Columbia,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,19.9,819,162.981,14.9,25.8,14.9 - 25.8,14.7-19.9,3479
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,District of Columbia,District of Columbia,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,20.1,724,145.524,14.5,26.8,14.5 - 26.8,15.4-20.1,3120
