Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,date,Time Period End Date,Value,Number of Respondents,value1,LowCI,HighCI,Confidence Interval,Quartile Range,value2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Florida,Florida,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,19,3794,720.86,16.4,21.7,16.4 - 21.7,18.5-20.5,203827
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Florida,Florida,2,14,"Sep 2 - Sep 14, 2020",09/02/2020,09/14/2020,17.1,3709,634.239,14.7,19.6,14.7 - 19.6,11.2-18.8,130694
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Florida,Florida,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,19.6,3294,645.624,17.1,22.4,17.1 - 22.4,19.2-21.3,88147
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Florida,Florida,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,17.6,3058,538.208,15.2,20.1,15.2 - 20.1,13.0-19.0,74877
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Florida,Florida,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,19.3,2781,536.733,16.9,21.9,16.9 - 21.9,19.2-21.1,73137
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Florida,Florida,3 (Oct 28 ��� Dec 21),18,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,19.6,"1,936",379.456,16.5,22.9,16.5 - 22.9,13.7-19.7,87147
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Florida,Florida,3 (Oct 28 ��� Dec 21),19,"Nov 11 - Nov 23, 2020",11/11/2020,11/23/2020,20,"2,227",445.4,16.8,23.4,16.8 - 23.4,13.2-20.1,119914
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Florida,Florida,3 (Oct 28 ��� Dec 21),20,"Nov 25 - Dec 7, 2020",11/25/2020,12/07/2020,20,"2,360",472,17.5,22.7,17.5 - 22.7,13.2-20.2,177329
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Florida,Florida,3 (Oct 28 ��� Dec 21),21,"Dec 9 - Dec 21, 2020",12/09/2020,12/21/2020,20.8,"2,340",486.72,17.9,24,17.9 - 24.0,20.2-23.1,230920
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Florida,Florida,3 (Jan 6 ��� Mar 29),22,"Jan 6 - Jan 18, 2021",01/06/2021,01/18/2021,20.7,"2,399",496.593,16.8,25,16.8 - 25.0,20.1-21.9,338885
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Florida,Florida,3 (Jan 6 ��� Mar 29),23,"Jan 20 - Feb 1, 2021",01/20/2021,02/01/2021,18.5,"2,854",527.99,15.8,21.4,15.8 - 21.4,11.2-20.4,371284
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Florida,Florida,3 (Jan 6 ��� Mar 29),24,"Feb 3 - Feb 15, 2021",02/03/2021,02/15/2021,19.7,"2,814",554.358,16.3,23.4,16.3 - 23.4,19.5-22.8,335971
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Florida,Florida,3 (Jan 6 ��� Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,17,"2,795",475.15,14.5,19.7,14.5 - 19.7,12.2-19.7,244437
