Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,date,Time Period End Date,Value,Number of Respondents,value1,LowCI,HighCI,Confidence Interval,Quartile Range,value2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Georgia,Georgia,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,21.1,2624,553.664,18.5,23.9,18.5 - 23.9,20.6-22.5,99688
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Georgia,Georgia,2,14,"Sep 2 - Sep 14, 2020",09/02/2020,09/14/2020,20.3,2501,507.703,17.6,23.2,17.6 - 23.2,18.9-21.2,82759
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Georgia,Georgia,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,19.9,2246,446.954,17,23.1,17.0 - 23.1,19.2-21.3,64823
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Georgia,Georgia,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,19.5,2071,403.845,16.7,22.6,16.7 - 22.6,19.1-20.3,52436
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Georgia,Georgia,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,19.5,1786,348.27,15.9,23.5,15.9 - 23.5,19.2-21.1,45803
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Georgia,Georgia,3 (Oct 28 ��� Dec 21),18,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,20.6,"1,176",242.256,16.8,24.8,16.8 - 24.8,19.8-21.7,48450
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Georgia,Georgia,3 (Oct 28 ��� Dec 21),19,"Nov 11 - Nov 23, 2020",11/11/2020,11/23/2020,21.3,"1,433",305.229,16.5,26.7,16.5 - 26.7,20.2-22.1,58322
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Georgia,Georgia,3 (Oct 28 ��� Dec 21),20,"Nov 25 - Dec 7, 2020",11/25/2020,12/07/2020,23.6,"1,374",324.264,19.1,28.5,19.1 - 28.5,23.4-25.0,78317
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Georgia,Georgia,3 (Oct 28 ��� Dec 21),21,"Dec 9 - Dec 21, 2020",12/09/2020,12/21/2020,20.6,"1,341",276.246,17,24.7,17.0 - 24.7,20.2-23.1,106596
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Georgia,Georgia,3 (Jan 6 ��� Mar 29),22,"Jan 6 - Jan 18, 2021",01/06/2021,01/18/2021,21.9,"1,510",330.69,18,26.2,18.0 - 26.2,20.1-21.9,201573
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Georgia,Georgia,3 (Jan 6 ��� Mar 29),23,"Jan 20 - Feb 1, 2021",01/20/2021,02/01/2021,24.4,"1,731",422.364,21.3,27.6,21.3 - 27.6,23.1-24.9,236132
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Georgia,Georgia,3 (Jan 6 ��� Mar 29),24,"Feb 3 - Feb 15, 2021",02/03/2021,02/15/2021,17.1,"1,754",299.934,14.6,19.9,14.6 - 19.9,12.1-19.4,216210
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Georgia,Georgia,3 (Jan 6 ��� Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,24.5,"1,734",424.83,20.4,28.9,20.4 - 28.9,22.7-24.7,144803
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Georgia,Georgia,3 (Jan 6 ��� Mar 29),26,"Mar 3 - Mar 15, 2021",03/03/2021,03/15/2021,17.9,"1,673",299.467,14.8,21.4,14.8 - 21.4,11.3-20.2,97102
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Georgia,Georgia,3 (Jan 6 ��� Mar 29),27,"Mar 17 - Mar 29, 2021",03/17/2021,03/29/2021,23.1,"1,719",397.089,18.8,27.8,18.8 - 27.8,22.3-24.1,68848
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Georgia,Georgia,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,20.7,"1,542",319.194,17.2,24.5,17.2 - 24.5,20.0-21.0,41873
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Georgia,Georgia,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,21.7,"1,631",353.927,17.9,25.8,17.9 - 25.8,20.2-22.7,39538
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Georgia,Georgia,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,19.5,"1,655",322.725,16,23.3,16.0 - 23.3,19.1-22.5,35653
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Georgia,Georgia,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,17.7,"1,558",275.766,14.2,21.7,14.2 - 21.7,12.2-19.6,25593
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Georgia,Georgia,3.1,32,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,20.5,"1,453",297.865,17.8,23.5,17.8 - 23.5,14.4-20.5,15824
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Georgia,Georgia,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,21.8,"1,321",287.978,17.6,26.4,17.6 - 26.4,20.3-23.1,11049
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Georgia,Georgia,3.2,34,"Jul 21 - Aug 2, 2021",07/21/2021,08/02/2021,24.7,"1,578",389.766,20.2,29.7,20.2 - 29.7,23.9-26.7,21481
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Georgia,Georgia,3.2,35,"Aug 4 - Aug 16, 2021",08/04/2021,08/16/2021,22.7,"1,703",386.581,19.4,26.2,19.4 - 26.2,21.5-23.8,62735
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Georgia,Georgia,3.2,36,"Aug 18 - Aug 30, 2021",08/18/2021,08/30/2021,19.1,"1,722",328.902,16.3,22.1,16.3 - 22.1,13.7-20.4,136832
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Georgia,Georgia,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,20.5,"1,652",338.66,17.8,23.3,17.8 - 23.3,11.8-21.0,218516
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Georgia,Georgia,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,22.9,"1,606",367.774,19.1,26.9,19.1 - 26.9,21.4-24.3,234017
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Georgia,Georgia,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,22.3,"1,541",343.643,17.6,27.6,17.6 - 27.6,20.8-24.1,170258
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Georgia,Georgia,3.3,40,"Dec 1 - Dec 13, 2021",12/01/2021,12/13/2021,20.1,1355,272.355,16.7,23.9,16.7 - 23.9,12.4-20.3,28712
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Georgia,Georgia,3.3,41,"Dec 29, 2021 - Jan 10, 2022",12/29/2021,01/10/2022,18.7,1804,337.348,15.8,21.9,15.8 - 21.9,14.3-20.4,127565
