Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,date,Time Period End Date,Value,Number of Respondents,value1,LowCI,HighCI,Confidence Interval,Quartile Range,value2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Hawaii,Hawaii,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,12.2,1425,173.85,9.8,15,9.8 - 15.0,12.2-18.4,4409
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Hawaii,Hawaii,2,14,"Sep 2 - Sep 14, 2020",09/02/2020,09/14/2020,11.2,1435,160.72,7.6,15.6,7.6 - 15.6,11.2-18.8,6431
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Hawaii,Hawaii,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,10.1,1269,128.169,7.5,13.1,7.5 - 13.1,10.1-19.1,5477
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Hawaii,Hawaii,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,13,1109,144.17,10,16.4,10.0 - 16.4,13.0-19.0,3519
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Hawaii,Hawaii,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,10,1056,105.6,7.9,12.6,7.9 - 12.6,10.0-19.1,2732
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Hawaii,Hawaii,3 (Oct 28 ��� Dec 21),18,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,14.2,629,89.318,10.2,18.9,10.2 - 18.9,13.7-19.7,2461
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Hawaii,Hawaii,3 (Oct 28 ��� Dec 21),19,"Nov 11 - Nov 23, 2020",11/11/2020,11/23/2020,13.2,677,89.364,9.6,17.6,9.6 - 17.6,13.2-20.1,2539
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Hawaii,Hawaii,3 (Oct 28 ��� Dec 21),20,"Nov 25 - Dec 7, 2020",11/25/2020,12/07/2020,13.2,697,92.004,9.3,17.9,9.3 - 17.9,13.2-20.2,2583
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Hawaii,Hawaii,3 (Oct 28 ��� Dec 21),21,"Dec 9 - Dec 21, 2020",12/09/2020,12/21/2020,12.5,694,86.75,8.7,17.2,8.7 - 17.2,12.5-20.1,2509
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Hawaii,Hawaii,3 (Jan 6 ��� Mar 29),22,"Jan 6 - Jan 18, 2021",01/06/2021,01/18/2021,15.7,761,119.477,11.2,21.2,11.2 - 21.2,15.1-20.0,3449
