Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,date,Time Period End Date,Value,Number of Respondents,value1,LowCI,HighCI,Confidence Interval,Quartile Range,value2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Indiana,Indiana,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,23.5,"2,051",482,21,26,20.7 - 26.4,22.6-26.8,24420
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Indiana,Indiana,2,14,"Sep 2 - Sep 14, 2020",09/02/2020,09/14/2020,23.3,"1,941",452,19.6,27.4,19.6 - 27.4,22.9-30.1,26495
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Indiana,Indiana,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,22.5,"1,921",432,19.7,25.4,19.7 - 25.4,21.4-22.9,25962
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Indiana,Indiana,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,22.5,"1,814",408,19.5,25.6,19.5 - 25.6,22.5-32.1,25128
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Indiana,Indiana,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,26.4,"1,798",475,23.3,29.7,23.3 - 29.7,24.2-27.2,32040
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Indiana,Indiana,3 (Oct 28 ��� Dec 21),18,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,23.9,"1,139",272,20,28.1,20.0 - 28.1,23.9-27.6,50046
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Indiana,Indiana,3 (Oct 28 ��� Dec 21),19,"Nov 11 - Nov 23, 2020",11/11/2020,11/23/2020,25.5,"1,360",347,22.5,28.8,22.5 - 28.8,25.1-31.4,86270
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Indiana,Indiana,3 (Oct 28 ��� Dec 21),20,"Nov 25 - Dec 7, 2020",11/25/2020,12/07/2020,23.3,"1,342",313,19.4,27.5,19.4 - 27.5,20.3-23.3,145964
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Indiana,Indiana,3 (Oct 28 ��� Dec 21),21,"Dec 9 - Dec 21, 2020",12/09/2020,12/21/2020,23.4,"1,332",312,20.3,26.8,20.3 - 26.8,23.2-25.5,179088
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Indiana,Indiana,3 (Jan 6 ��� Mar 29),22,"Jan 6 - Jan 18, 2021",01/06/2021,01/18/2021,26.4,"1,280",338,22.7,30.4,22.7 - 30.4,24.6-28.5,146842
