Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,date,Time Period End Date,Value,Number of Respondents,value1,LowCI,HighCI,Confidence Interval,Quartile Range,value2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Iowa,Iowa,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,23.1,"1,678",387.618,19.9,26.5,19.9 - 26.5,22.6-26.8,13807
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Iowa,Iowa,2,14,"Sep 2 - Sep 14, 2020",09/02/2020,09/14/2020,22.4,"1,651",369.824,19.7,25.4,19.7 - 25.4,21.3-22.8,20221
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Iowa,Iowa,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,22.9,"1,421",325.409,19.4,26.7,19.4 - 26.7,21.4-22.9,23710
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Iowa,Iowa,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,23.6,"1,407",332.052,20.2,27.3,20.2 - 27.3,22.5-32.1,23382
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Iowa,Iowa,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,22.7,"1,398",317.346,19.6,26.1,19.6 - 26.1,21.2-24.1,27056
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Iowa,Iowa,3 (Oct 28 ��� Dec 21),18,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,25.6,993,254.208,21.6,29.9,21.6 - 29.9,23.9-27.6,32301
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Iowa,Iowa,3 (Oct 28 ��� Dec 21),19,"Nov 11 - Nov 23, 2020",11/11/2020,11/23/2020,26.1,"1,209",315.549,22,30.6,22.0 - 30.6,25.1-31.4,65946
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Iowa,Iowa,3 (Oct 28 ��� Dec 21),20,"Nov 25 - Dec 7, 2020",11/25/2020,12/07/2020,22.3,"1,206",268.938,18.7,26.2,18.7 - 26.2,20.3-23.3,101827
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Iowa,Iowa,3 (Oct 28 ��� Dec 21),21,"Dec 9 - Dec 21, 2020",12/09/2020,12/21/2020,27.1,"1,062",287.802,22.1,32.5,22.1 - 32.5,25.6-34.2,87473
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Iowa,Iowa,3 (Jan 6 ��� Mar 29),22,"Jan 6 - Jan 18, 2021",01/06/2021,01/18/2021,25.7,992,254.944,22.1,29.5,22.1 - 29.5,24.6-28.5,43121
