Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,date,Time Period End Date,Value,Number of Respondents,value1,LowCI,HighCI,Confidence Interval,Quartile Range,value2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kansas,Kansas,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,21.2,"1,824",386.688,17.9,24.7,17.9 - 24.7,20.6-22.5,12556
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kansas,Kansas,2,14,"Sep 2 - Sep 14, 2020",09/02/2020,09/14/2020,22.2,"1,946",432.012,18.8,25.8,18.8 - 25.8,21.3-22.8,15064
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kansas,Kansas,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,25,"1,701",425.25,22.3,27.8,22.3 - 27.8,23.0-25.9,15703
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kansas,Kansas,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,20.3,"1,608",326.424,17.4,23.4,17.4 - 23.4,19.1-20.3,17137
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kansas,Kansas,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,24.6,"1,435",353.01,21.1,28.5,21.1 - 28.5,24.2-27.2,19256
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kansas,Kansas,3 (Oct 28 ��� Dec 21),18,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,23.7,"1,049",248.613,20.2,27.5,20.2 - 27.5,21.8-23.8,23416
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kansas,Kansas,3 (Oct 28 ��� Dec 21),19,"Nov 11 - Nov 23, 2020",11/11/2020,11/23/2020,22.9,"1,267",290.143,19.8,26.2,19.8 - 26.2,22.2-25.0,41363
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kansas,Kansas,3 (Oct 28 ��� Dec 21),20,"Nov 25 - Dec 7, 2020",11/25/2020,12/07/2020,25.7,"1,255",322.535,22.3,29.3,22.3 - 29.3,25.1-33.0,69121
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kansas,Kansas,3 (Oct 28 ��� Dec 21),21,"Dec 9 - Dec 21, 2020",12/09/2020,12/21/2020,24.4,"1,176",286.944,20.7,28.3,20.7 - 28.3,23.2-25.5,76250
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kansas,Kansas,3 (Jan 6 ��� Mar 29),22,"Jan 6 - Jan 18, 2021",01/06/2021,01/18/2021,21.9,"1,164",254.916,18.6,25.6,18.6 - 25.6,20.1-21.9,62793
