Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,date,Time Period End Date,Value,Number of Respondents,value1,LowCI,HighCI,Confidence Interval,Quartile Range,value2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kentucky,Kentucky,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,26.8,"1,472",394.496,23,30.9,23.0 - 30.9,22.6-26.8,18757
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kentucky,Kentucky,2,14,"Sep 2 - Sep 14, 2020",09/02/2020,09/14/2020,26,"1,461",379.86,22,30.3,22.0 - 30.3,22.9-30.1,19685
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kentucky,Kentucky,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,25.5,"1,341",341.955,22.3,28.9,22.3 - 28.9,23.0-25.9,19794
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kentucky,Kentucky,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,25.9,"1,296",335.664,22.7,29.4,22.7 - 29.4,22.5-32.1,19783
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kentucky,Kentucky,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,25.2,"1,231",310.212,21.1,29.6,21.1 - 29.6,24.2-27.2,22738
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kentucky,Kentucky,3 (Oct 28 ��� Dec 21),18,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,25,797,199.25,19.9,30.7,19.9 - 30.7,23.9-27.6,31291
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kentucky,Kentucky,3 (Oct 28 ��� Dec 21),19,"Nov 11 - Nov 23, 2020",11/11/2020,11/23/2020,24.2,922,223.124,20.9,27.9,20.9 - 27.9,22.2-25.0,46447
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kentucky,Kentucky,3 (Oct 28 ��� Dec 21),20,"Nov 25 - Dec 7, 2020",11/25/2020,12/07/2020,23.9,913,218.207,19.5,28.8,19.5 - 28.8,23.4-25.0,70349
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kentucky,Kentucky,3 (Oct 28 ��� Dec 21),21,"Dec 9 - Dec 21, 2020",12/09/2020,12/21/2020,28.1,888,249.528,23.2,33.5,23.2 - 33.5,25.6-34.2,86440
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kentucky,Kentucky,3 (Jan 6 ��� Mar 29),22,"Jan 6 - Jan 18, 2021",01/06/2021,01/18/2021,25.2,891,224.532,21.4,29.4,21.4 - 29.4,24.6-28.5,80534
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kentucky,Kentucky,3 (Jan 6 ��� Mar 29),23,"Jan 20 - Feb 1, 2021",01/20/2021,02/01/2021,29.2,"1,041",303.972,24.3,34.5,24.3 - 34.5,25.0-29.2,87631
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kentucky,Kentucky,3 (Jan 6 ��� Mar 29),24,"Feb 3 - Feb 15, 2021",02/03/2021,02/15/2021,25.5,972,247.86,20.5,31,20.5 - 31.0,24.7-31.8,88595
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kentucky,Kentucky,3 (Jan 6 ��� Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,27,982,265.14,22.2,32.2,22.2 - 32.2,24.8-27.9,61110
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kentucky,Kentucky,3 (Jan 6 ��� Mar 29),26,"Mar 3 - Mar 15, 2021",03/03/2021,03/15/2021,25.9,961,248.899,22.2,30,22.2 - 30.0,23.9-29.8,38431
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kentucky,Kentucky,3 (Jan 6 ��� Mar 29),27,"Mar 17 - Mar 29, 2021",03/17/2021,03/29/2021,27.3,932,254.436,21.9,33.2,21.9 - 33.2,24.2-28.7,24290
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kentucky,Kentucky,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,26.2,558,146.196,19.7,33.4,19.7 - 33.4,23.9-32.3,15940
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kentucky,Kentucky,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,28.9,952,275.128,23.4,34.9,23.4 - 34.9,24.7-29.7,15525
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kentucky,Kentucky,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,29.2,890,259.88,24.3,34.4,24.3 - 34.4,24.8-29.2,15064
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kentucky,Kentucky,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,28.8,839,241.632,23.5,34.5,23.5 - 34.5,25.2-29.5,12491
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kentucky,Kentucky,3.1,32,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,24.4,884,215.696,20.7,28.3,20.7 - 28.3,22.2-24.9,8580
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kentucky,Kentucky,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,24,831,199.44,19.5,28.9,19.5 - 28.9,23.2-25.0,5765
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kentucky,Kentucky,3.2,34,"Jul 21 - Aug 2, 2021",07/21/2021,08/02/2021,24.9,870,216.63,20.8,29.3,20.8 - 29.3,23.9-26.7,9508
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kentucky,Kentucky,3.2,35,"Aug 4 - Aug 16, 2021",08/04/2021,08/16/2021,30.8,915,281.82,26.6,35.3,26.6 - 35.3,25.9-30.8,26080
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kentucky,Kentucky,3.2,36,"Aug 18 - Aug 30, 2021",08/18/2021,08/30/2021,30.1,938,282.338,25,35.7,25.0 - 35.7,26.6-31.4,58137
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kentucky,Kentucky,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,25.8,849,219.042,21.5,30.4,21.5 - 30.4,24.4-26.1,102090
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kentucky,Kentucky,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,28.9,791,228.599,24,34.2,24.0 - 34.2,26.2-30.8,127732
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kentucky,Kentucky,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,28.6,719,205.634,23.3,34.4,23.3 - 34.4,26.4-33.6,116040
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kentucky,Kentucky,3.3,40,"Dec 1 - Dec 13, 2021",12/01/2021,12/13/2021,31.7,817,258.989,26.7,37,26.7 - 37.0,27.1-34.4,42059
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kentucky,Kentucky,3.3,41,"Dec 29, 2021 - Jan 10, 2022",12/29/2021,01/10/2022,30.2,959,289.618,25.8,34.9,25.8 - 34.9,26.7-30.9,73248
