Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,date,Time Period End Date,Value,Number of Respondents,value1,LowCI,HighCI,Confidence Interval,Quartile Range,value2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Louisiana,Louisiana,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,23.6,"1,461",344.796,20.6,26.9,20.6 - 26.9,22.6-26.8,43320
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Louisiana,Louisiana,2,14,"Sep 2 - Sep 14, 2020",09/02/2020,09/14/2020,23.1,"1,495",345.345,19.7,26.7,19.7 - 26.7,22.9-30.1,26273
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Louisiana,Louisiana,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,23.1,"1,307",301.917,20.3,26,20.3 - 26.0,23.0-25.9,20740
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Louisiana,Louisiana,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,24.3,"1,304",316.872,20.8,28.1,20.8 - 28.1,22.5-32.1,17875
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Louisiana,Louisiana,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,23.6,"1,174",277.064,20.4,27.1,20.4 - 27.1,21.2-24.1,16956
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Louisiana,Louisiana,3 (Oct 28 ��� Dec 21),18,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,25.3,692,175.076,20.2,30.9,20.2 - 30.9,23.9-27.6,18974
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Louisiana,Louisiana,3 (Oct 28 ��� Dec 21),19,"Nov 11 - Nov 23, 2020",11/11/2020,11/23/2020,21.5,832,178.88,17.7,25.7,17.7 - 25.7,20.2-22.1,19373
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Louisiana,Louisiana,3 (Oct 28 ��� Dec 21),20,"Nov 25 - Dec 7, 2020",11/25/2020,12/07/2020,23.6,863,203.668,18.8,29,18.8 - 29.0,23.4-25.0,40914
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Louisiana,Louisiana,3 (Oct 28 ��� Dec 21),21,"Dec 9 - Dec 21, 2020",12/09/2020,12/21/2020,34.2,799,273.258,27.4,41.6,27.4 - 41.6,25.6-34.2,64212
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Louisiana,Louisiana,3 (Jan 6 ��� Mar 29),22,"Jan 6 - Jan 18, 2021",01/06/2021,01/18/2021,24.6,821,201.966,20.4,29.2,20.4 - 29.2,24.6-28.5,78962
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Louisiana,Louisiana,3 (Jan 6 ��� Mar 29),23,"Jan 20 - Feb 1, 2021",01/20/2021,02/01/2021,25.7,966,248.262,21.2,30.7,21.2 - 30.7,25.0-29.2,83622
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Louisiana,Louisiana,3 (Jan 6 ��� Mar 29),24,"Feb 3 - Feb 15, 2021",02/03/2021,02/15/2021,22.9,924,211.596,19.1,27.1,19.1 - 27.1,22.9-24.6,79587
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Louisiana,Louisiana,3 (Jan 6 ��� Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,22.8,914,208.392,18.1,28.1,18.1 - 28.1,22.7-24.7,48929
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Louisiana,Louisiana,3 (Jan 6 ��� Mar 29),26,"Mar 3 - Mar 15, 2021",03/03/2021,03/15/2021,28.1,872,245.032,24.1,32.4,24.1 - 32.4,23.9-29.8,27577
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Louisiana,Louisiana,3 (Jan 6 ��� Mar 29),27,"Mar 17 - Mar 29, 2021",03/17/2021,03/29/2021,26.5,865,229.225,21.7,31.8,21.7 - 31.8,24.2-28.7,18608
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Louisiana,Louisiana,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,19.6,652,127.792,14.1,26.2,14.1 - 26.2,14.7-19.9,12116
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Louisiana,Louisiana,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,27.5,917,252.175,22.4,33,22.4 - 33.0,24.7-29.7,12912
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Louisiana,Louisiana,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,26.9,827,222.463,21.6,32.8,21.6 - 32.8,24.8-29.2,13718
