Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,date,Time Period End Date,Value,Number of Respondents,value1,LowCI,HighCI,Confidence Interval,Quartile Range,value2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Maryland,Maryland,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,17.1,"2,540",434.34,15.1,19.3,15.1 - 19.3,12.2-18.4,22104
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Maryland,Maryland,2,14,"Sep 2 - Sep 14, 2020",09/02/2020,09/14/2020,16.9,"2,619",442.611,14.7,19.3,14.7 - 19.3,11.2-18.8,17465
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Maryland,Maryland,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,18.8,"2,282",429.016,16.3,21.6,16.3 - 21.6,10.1-19.1,16653
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Maryland,Maryland,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,20.6,"2,242",461.852,18.1,23.1,18.1 - 23.1,20.4-22.4,15862
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Maryland,Maryland,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,18.9,"2,091",395.199,16.2,21.9,16.2 - 21.9,10.0-19.1,15673
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Maryland,Maryland,3 (Oct 28 ��� Dec 21),18,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,20,"1,389",277.8,16.9,23.3,16.9 - 23.3,19.8-21.7,18114
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Maryland,Maryland,3 (Oct 28 ��� Dec 21),19,"Nov 11 - Nov 23, 2020",11/11/2020,11/23/2020,18.8,"1,751",329.188,15.7,22.2,15.7 - 22.2,13.2-20.1,26080
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Maryland,Maryland,3 (Oct 28 ��� Dec 21),20,"Nov 25 - Dec 7, 2020",11/25/2020,12/07/2020,20,"1,772",354.4,16.6,23.6,16.6 - 23.6,13.2-20.2,46420
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Maryland,Maryland,3 (Oct 28 ��� Dec 21),21,"Dec 9 - Dec 21, 2020",12/09/2020,12/21/2020,19.7,"1,664",327.808,16.6,23.1,16.6 - 23.1,12.5-20.1,65944
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Maryland,Maryland,3 (Jan 6 ��� Mar 29),22,"Jan 6 - Jan 18, 2021",01/06/2021,01/18/2021,21.1,"1,553",327.683,18.3,24,18.3 - 24.0,20.1-21.9,72943
