Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,date,Time Period End Date,Value,Number of Respondents,value1,LowCI,HighCI,Confidence Interval,Quartile Range,value2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Mississippi,Mississippi,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,20.8,"1,256",261.248,17.4,24.7,17.4 - 24.7,20.6-22.5,24739
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Mississippi,Mississippi,2,14,"Sep 2 - Sep 14, 2020",09/02/2020,09/14/2020,23.5,"1,147",269.545,20.4,26.8,20.4 - 26.8,22.9-30.1,19921
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Mississippi,Mississippi,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,19.8,"1,106",218.988,16.3,23.8,16.3 - 23.8,19.2-21.3,16505
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Mississippi,Mississippi,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,21,"1,032",216.72,17.2,25.1,17.2 - 25.1,20.4-22.4,14321
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Mississippi,Mississippi,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,26.2,855,224.01,21.8,31,21.8 - 31.0,24.2-27.2,16733
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Mississippi,Mississippi,3 (Oct 28 ��� Dec 21),18,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,20.1,494,99.294,13.5,28,13.5 - 28.0,19.8-21.7,20152
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Mississippi,Mississippi,3 (Oct 28 ��� Dec 21),19,"Nov 11 - Nov 23, 2020",11/11/2020,11/23/2020,23.6,590,139.24,18.2,29.8,18.2 - 29.8,22.2-25.0,24328
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Mississippi,Mississippi,3 (Oct 28 ��� Dec 21),20,"Nov 25 - Dec 7, 2020",11/25/2020,12/07/2020,25.1,584,146.584,19.4,31.5,19.4 - 31.5,25.1-33.0,30359
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Mississippi,Mississippi,3 (Oct 28 ��� Dec 21),21,"Dec 9 - Dec 21, 2020",12/09/2020,12/21/2020,25.8,554,142.932,20.9,31.3,20.9 - 31.3,25.6-34.2,43337
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Mississippi,Mississippi,3 (Jan 6 ��� Mar 29),22,"Jan 6 - Jan 18, 2021",01/06/2021,01/18/2021,26.6,553,147.098,20.7,33.3,20.7 - 33.3,24.6-28.5,60795
