Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,date,Time Period End Date,Value,Number of Respondents,value1,LowCI,HighCI,Confidence Interval,Quartile Range,value2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Missouri,Missouri,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,23.7,"1,847",437.739,21,26.6,21.0 - 26.6,22.6-26.8,30838
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Missouri,Missouri,2,14,"Sep 2 - Sep 14, 2020",09/02/2020,09/14/2020,21.3,"1,823",388.299,18.6,24.2,18.6 - 24.2,21.3-22.8,34947
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Missouri,Missouri,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,23,"1,649",379.27,20.2,25.9,20.2 - 25.9,23.0-25.9,39922
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Missouri,Missouri,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,22.3,"1,621",361.483,20,24.8,20.0 - 24.8,20.4-22.4,44547
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Missouri,Missouri,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,24.4,"1,504",366.976,21.2,27.9,21.2 - 27.9,24.2-27.2,49947
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Missouri,Missouri,3 (Oct 28 ��� Dec 21),18,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,21,917,192.57,18.2,24.2,18.2 - 24.2,19.8-21.7,58836
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Missouri,Missouri,3 (Oct 28 ��� Dec 21),19,"Nov 11 - Nov 23, 2020",11/11/2020,11/23/2020,25.2,"1,149",289.548,22,28.5,22.0 - 28.5,25.1-31.4,96926
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Missouri,Missouri,3 (Oct 28 ��� Dec 21),20,"Nov 25 - Dec 7, 2020",11/25/2020,12/07/2020,25.8,"1,132",292.056,22.1,29.9,22.1 - 29.9,25.1-33.0,131474
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Missouri,Missouri,3 (Oct 28 ��� Dec 21),21,"Dec 9 - Dec 21, 2020",12/09/2020,12/21/2020,25.5,"1,029",262.395,21.7,29.6,21.7 - 29.6,23.2-25.5,122774
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Missouri,Missouri,3 (Jan 6 ��� Mar 29),22,"Jan 6 - Jan 18, 2021",01/06/2021,01/18/2021,23.8,"1,081",257.278,20.3,27.6,20.3 - 27.6,22.0-24.5,101026
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Missouri,Missouri,3 (Jan 6 ��� Mar 29),23,"Jan 20 - Feb 1, 2021",01/20/2021,02/01/2021,25.3,"1,326",335.478,22.2,28.6,22.2 - 28.6,25.0-29.2,88764
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Missouri,Missouri,3 (Jan 6 ��� Mar 29),24,"Feb 3 - Feb 15, 2021",02/03/2021,02/15/2021,22.4,"1,349",302.176,19.4,25.6,19.4 - 25.6,19.5-22.8,64412
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Missouri,Missouri,3 (Jan 6 ��� Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,23.4,"1,286",300.924,19.5,27.8,19.5 - 27.8,22.7-24.7,38236
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Missouri,Missouri,3 (Jan 6 ��� Mar 29),26,"Mar 3 - Mar 15, 2021",03/03/2021,03/15/2021,24.4,"1,323",322.812,20.8,28.3,20.8 - 28.3,23.9-29.8,22846
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Missouri,Missouri,3 (Jan 6 ��� Mar 29),27,"Mar 17 - Mar 29, 2021",03/17/2021,03/29/2021,23.3,"1,307",304.531,19.7,27.3,19.7 - 27.3,22.3-24.1,17453
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Missouri,Missouri,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,26.1,"1,141",297.801,21.5,31.1,21.5 - 31.1,23.9-32.3,15650
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Missouri,Missouri,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,25.6,"1,302",333.312,22.2,29.3,22.2 - 29.3,24.7-29.7,16474
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Missouri,Missouri,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,22.5,"1,242",279.45,18.6,26.7,18.6 - 26.7,19.1-22.5,16556
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Missouri,Missouri,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,23.8,"1,217",289.646,20.6,27.3,20.6 - 27.3,22.9-25.1,14753
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Missouri,Missouri,3.1,32,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,23.9,"1,187",283.693,20.3,27.8,20.3 - 27.8,22.2-24.9,12950
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Missouri,Missouri,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,25.1,"1,140",286.14,19.1,31.8,19.1 - 31.8,25.1-28.4,16393
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Missouri,Missouri,3.2,34,"Jul 21 - Aug 2, 2021",07/21/2021,08/02/2021,27.4,"1,226",335.924,23.1,31.9,23.1 - 31.9,26.8-30.6,43208
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Missouri,Missouri,3.2,35,"Aug 4 - Aug 16, 2021",08/04/2021,08/16/2021,28.6,"1,265",361.79,24.6,32.9,24.6 - 32.9,25.9-30.8,67716
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Missouri,Missouri,3.2,36,"Aug 18 - Aug 30, 2021",08/18/2021,08/30/2021,23.3,"1,229",286.357,20,26.9,20.0 - 26.9,20.5-23.4,78595
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Missouri,Missouri,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,24.3,"1,113",270.459,19.8,29.3,19.8 - 29.3,21.1-24.3,73808
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Missouri,Missouri,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,30.3,"1,052",318.756,25.8,35.2,25.8 - 35.2,26.2-30.8,66907
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Missouri,Missouri,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,27.8,938,260.764,24.1,31.7,24.1 - 31.7,26.4-33.6,59170
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Missouri,Missouri,3.3,40,"Dec 1 - Dec 13, 2021",12/01/2021,12/13/2021,28.9,"1,044",301.716,24.1,34.2,24.1 - 34.2,27.1-34.4,45550
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Missouri,Missouri,3.3,41,"Dec 29, 2021 - Jan 10, 2022",12/29/2021,01/10/2022,27.6,"1,210",333.96,23.8,31.6,23.8 - 31.6,26.7-30.9,88356
