Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,date,Time Period End Date,Value,Number of Respondents,value1,LowCI,HighCI,Confidence Interval,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,value2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Nevada,Nevada,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,15,"1,912",286.8,12.8,17.5,12.8 - 17.5,12.2-18.4,,22.6-26.8,,20.6-22.5,25507
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Nevada,Nevada,2,14,"Sep 2 - Sep 14, 2020",09/02/2020,09/14/2020,15.9,"1,910",303.69,13.1,19.1,13.1 - 19.1,11.2-18.8,,22.9-30.1,,18.9-21.2,17699
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Nevada,Nevada,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,17.4,"1,672",290.928,14.2,21.1,14.2 - 21.1,10.1-19.1,,21.4-22.9,,23.0-25.9,11588
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Nevada,Nevada,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,16.9,"1,566",264.654,13.6,20.8,13.6 - 20.8,13.0-19.0,,22.5-32.1,,22.5-32.1,10201
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Nevada,Nevada,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,15.4,"1,429",220.066,12.3,19,12.3 - 19.0,10.0-19.1,,24.2-27.2,,21.2-24.1,13397
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Nevada,Nevada,3 (Oct 28 ��� Dec 21),18,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,19.9,930,185.07,15.8,24.5,15.8 - 24.5,19.8-21.7,,23.9-27.6,,23.9-27.6,17780
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Nevada,Nevada,3 (Oct 28 ��� Dec 21),19,"Nov 11 - Nov 23, 2020",11/11/2020,11/23/2020,19.2,"1,200",230.4,15.4,23.6,15.4 - 23.6,13.2-20.1,,25.1-31.4,,25.1-31.4,26485
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Nevada,Nevada,3 (Oct 28 ��� Dec 21),20,"Nov 25 - Dec 7, 2020",11/25/2020,12/07/2020,18.5,"1,272",235.32,14.7,22.9,14.7 - 22.9,13.2-20.2,,20.3-23.3,,23.4-25.0,45334
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Nevada,Nevada,3 (Oct 28 ��� Dec 21),21,"Dec 9 - Dec 21, 2020",12/09/2020,12/21/2020,15.8,"1,190",188.02,12.9,19,12.9 - 19.0,12.5-20.1,,23.2-25.5,,23.2-25.5,64030
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Nevada,Nevada,3 (Jan 6 ��� Mar 29),22,"Jan 6 - Jan 18, 2021",01/06/2021,01/18/2021,19.8,"1,167",231.066,15.7,24.6,15.7 - 24.6,15.1-20.0,,24.6-28.5,,22.0-24.5,64112
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Nevada,Nevada,3 (Jan 6 ��� Mar 29),23,"Jan 20 - Feb 1, 2021",01/20/2021,02/01/2021,16.9,"1,364",230.516,13.8,20.5,13.8 - 20.5,11.2-20.4,,25.0-29.2,,23.1-24.9,58169
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Nevada,Nevada,3 (Jan 6 ��� Mar 29),24,"Feb 3 - Feb 15, 2021",02/03/2021,02/15/2021,18.8,"1,340",251.92,15.2,22.9,15.2 - 22.9,12.1-19.4,,24.7-31.8,,12.1-19.4,45252
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Nevada,Nevada,3 (Jan 6 ��� Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,18.2,"1,306",237.692,15,21.8,15.0 - 21.8,12.2-19.7,,24.8-27.9,,22.7-24.7,25420
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Nevada,Nevada,3 (Jan 6 ��� Mar 29),26,"Mar 3 - Mar 15, 2021",03/03/2021,03/15/2021,16.4,"1,277",209.428,13.3,19.9,13.3 - 19.9,11.3-20.2,,22.8-23.8,,22.8-23.8,14727
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Nevada,Nevada,3 (Jan 6 ��� Mar 29),27,"Mar 17 - Mar 29, 2021",03/17/2021,03/29/2021,18.3,"1,280",234.24,14.6,22.3,14.6 - 22.3,11.6-19.3,,24.2-28.7,,24.2-28.7,11089
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Nevada,Nevada,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,20.4,"1,185",241.74,15.9,25.5,15.9 - 25.5,20.0-21.0,,23.9-32.3,,21.1-23.8,9333
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Nevada,Nevada,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,16.4,"1,302",213.528,13.2,20,13.2 - 20.0,15.4-20.1,,22.8-24.6,,24.7-29.7,10981
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Nevada,Nevada,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,15.4,"1,242",191.268,13.1,17.9,13.1 - 17.9,13.3-19.0,,24.8-29.2,,22.6-24.7,10959
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Nevada,Nevada,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,17.6,"1,146",201.696,14.8,20.7,14.8 - 20.7,12.2-19.6,,22.9-25.1,,25.2-29.5,9164
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Nevada,Nevada,3.1,32,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,17.9,"1,197",214.263,14.5,21.7,14.5 - 21.7,14.4-20.5,,25.0-29.2,,22.2-24.9,7333
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Nevada,Nevada,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,16.9,"1,133",191.477,13.6,20.6,13.6 - 20.6,15.9-20.2,,23.2-25.0,,25.1-28.4,7340
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Nevada,Nevada,3.2,34,"Jul 21 - Aug 2, 2021",07/21/2021,08/02/2021,18,"1,328",239.04,14.9,21.5,14.9 - 21.5,13.1-21.1,,26.8-30.6,,26.8-30.6,17183
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Nevada,Nevada,3.2,35,"Aug 4 - Aug 16, 2021",08/04/2021,08/16/2021,17,"1,213",206.21,14.6,19.7,14.6 - 19.7,10.9-21.4,,25.9-30.8,,23.9-25.8,25031
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Nevada,Nevada,3.2,36,"Aug 18 - Aug 30, 2021",08/18/2021,08/30/2021,16.1,"1,200",193.2,12.8,19.8,12.8 - 19.8,13.7-20.4,,23.5-26.5,,26.6-31.4,29913
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Nevada,Nevada,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,17.4,"1,065",185.31,14.4,20.7,14.4 - 20.7,11.8-21.0,,24.4-26.1,,24.4-26.1,31905
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Nevada,Nevada,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,20.2,"1,016",205.232,16.3,24.6,16.3 - 24.6,14.4-21.3,,21.4-24.3,,24.4-26.1,32607
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Nevada,Nevada,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,15.3,973,148.869,12.1,18.9,12.1 - 18.9,12.7-20.7,,26.4-33.6,,26.4-33.6,29579
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Nevada,Nevada,3.3,40,"Dec 1 - Dec 13, 2021",12/01/2021,12/13/2021,15.3,"1,033",158.049,12.8,18.2,12.8 - 18.2,12.4-20.3,,23.6-27.0,,20.4-23.5,19034
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Nevada,Nevada,3.3,41,"Dec 29, 2021 - Jan 10, 2022",12/29/2021,01/10/2022,19.1,"1,241",237.031,15.5,23,15.5 - 23.0,14.3-20.4,,24.3-26.6,,20.5-24.2,27323
