Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,date,Time Period End Date,Value,Number of Respondents,value1,LowCI,HighCI,Confidence Interval,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,value2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Hampshire,New Hampshire,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,21.1,"1,477",311.647,17.4,25.2,17.4 - 25.2,20.6-22.5,,22.6-26.8,,20.6-22.5,774
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Hampshire,New Hampshire,2,14,"Sep 2 - Sep 14, 2020",09/02/2020,09/14/2020,22.9,"1,618",370.522,20,25.9,20.0 - 25.9,22.9-30.1,,22.9-30.1,,18.9-21.2,616
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Hampshire,New Hampshire,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,21.8,"1,436",313.048,18.6,25.4,18.6 - 25.4,21.4-22.9,,21.4-22.9,,23.0-25.9,763
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Hampshire,New Hampshire,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,19,"1,433",272.27,16,22.4,16.0 - 22.4,13.0-19.0,,22.5-32.1,,22.5-32.1,969
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Hampshire,New Hampshire,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,24.3,"1,145",278.235,20.9,28,20.9 - 28.0,24.2-27.2,,24.2-27.2,,21.2-24.1,1601
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Hampshire,New Hampshire,3 (Oct 28 ��� Dec 21),18,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,20.9,891,186.219,17.1,25.1,17.1 - 25.1,19.8-21.7,,23.9-27.6,,23.9-27.6,2408
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Hampshire,New Hampshire,3 (Oct 28 ��� Dec 21),19,"Nov 11 - Nov 23, 2020",11/11/2020,11/23/2020,24.7,"1,029",254.163,20.2,29.7,20.2 - 29.7,22.2-25.0,,25.1-31.4,,25.1-31.4,3869
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Hampshire,New Hampshire,3 (Oct 28 ��� Dec 21),20,"Nov 25 - Dec 7, 2020",11/25/2020,12/07/2020,28.7,"1,052",301.924,23.7,34.1,23.7 - 34.1,25.1-33.0,,20.3-23.3,,23.4-25.0,8246
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Hampshire,New Hampshire,3 (Oct 28 ��� Dec 21),21,"Dec 9 - Dec 21, 2020",12/09/2020,12/21/2020,29.2,"1,071",312.732,23.6,35.4,23.6 - 35.4,25.6-34.2,,23.2-25.5,,23.2-25.5,14673
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Hampshire,New Hampshire,3 (Jan 6 ��� Mar 29),22,"Jan 6 - Jan 18, 2021",01/06/2021,01/18/2021,24.2,956,231.352,19.6,29.4,19.6 - 29.4,22.0-24.5,,24.6-28.5,,22.0-24.5,22215
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Hampshire,New Hampshire,3 (Jan 6 ��� Mar 29),23,"Jan 20 - Feb 1, 2021",01/20/2021,02/01/2021,26.1,"1,274",332.514,22.1,30.3,22.1 - 30.3,25.0-29.2,,25.0-29.2,,23.1-24.9,21429
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Hampshire,New Hampshire,3 (Jan 6 ��� Mar 29),24,"Feb 3 - Feb 15, 2021",02/03/2021,02/15/2021,22.9,"1,208",276.632,18.9,27.2,18.9 - 27.2,22.9-24.6,,24.7-31.8,,12.1-19.4,18729
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Hampshire,New Hampshire,3 (Jan 6 ��� Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,23.4,"1,146",268.164,19.8,27.3,19.8 - 27.3,22.7-24.7,,24.8-27.9,,22.7-24.7,13255
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Hampshire,New Hampshire,3 (Jan 6 ��� Mar 29),26,"Mar 3 - Mar 15, 2021",03/03/2021,03/15/2021,21.8,"1,150",250.7,17.4,26.6,17.4 - 26.6,20.3-22.7,,22.8-23.8,,22.8-23.8,9606
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Hampshire,New Hampshire,3 (Jan 6 ��� Mar 29),27,"Mar 17 - Mar 29, 2021",03/17/2021,03/29/2021,21.9,"1,194",261.486,18.1,26.1,18.1 - 26.1,19.4-22.2,,24.2-28.7,,24.2-28.7,8152
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Hampshire,New Hampshire,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,24.4,"1,133",276.452,20.5,28.6,20.5 - 28.6,23.9-32.3,,23.9-32.3,,21.1-23.8,10913
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Hampshire,New Hampshire,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,24.6,"1,339",329.394,21.4,28.1,21.4 - 28.1,22.8-24.6,,22.8-24.6,,24.7-29.7,10691
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Hampshire,New Hampshire,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,21,"1,136",238.56,17.5,24.9,17.5 - 24.9,19.1-22.5,,24.8-29.2,,22.6-24.7,7488
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Hampshire,New Hampshire,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,25.2,"1,055",265.86,20.9,29.9,20.9 - 29.9,25.2-29.5,,22.9-25.1,,25.2-29.5,4267
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Hampshire,New Hampshire,3.1,32,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,20.9,977,204.193,17,25.1,17.0 - 25.1,20.6-22.1,,25.0-29.2,,22.2-24.9,2063
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Hampshire,New Hampshire,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,23.6,"1,000",236,19.4,28.2,19.4 - 28.2,23.2-25.0,,23.2-25.0,,25.1-28.4,938
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Hampshire,New Hampshire,3.2,34,"Jul 21 - Aug 2, 2021",07/21/2021,08/02/2021,24,910,218.4,18.8,29.9,18.8 - 29.9,23.9-26.7,,26.8-30.6,,26.8-30.6,724
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Hampshire,New Hampshire,3.2,35,"Aug 4 - Aug 16, 2021",08/04/2021,08/16/2021,25.7,"1,036",266.252,21.2,30.5,21.2 - 30.5,23.9-25.8,,25.9-30.8,,23.9-25.8,1651
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Hampshire,New Hampshire,3.2,36,"Aug 18 - Aug 30, 2021",08/18/2021,08/30/2021,26.4,970,256.08,22.4,30.8,22.4 - 30.8,23.5-26.5,,23.5-26.5,,26.6-31.4,3964
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Hampshire,New Hampshire,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,26.5,887,235.055,21.9,31.5,21.9 - 31.5,26.2-29.3,,24.4-26.1,,24.4-26.1,6866
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Hampshire,New Hampshire,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,27.2,915,248.88,21.9,33,21.9 - 33.0,26.2-30.8,,21.4-24.3,,24.4-26.1,9558
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Hampshire,New Hampshire,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,25.7,830,213.31,21.6,30.2,21.6 - 30.2,24.2-26.3,,26.4-33.6,,26.4-33.6,12031
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Hampshire,New Hampshire,3.3,40,"Dec 1 - Dec 13, 2021",12/01/2021,12/13/2021,22.9,"1,216",278.464,19.2,26.9,19.2 - 26.9,20.4-23.5,,23.6-27.0,,20.4-23.5,25427
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Hampshire,New Hampshire,3.3,41,"Dec 29, 2021 - Jan 10, 2022",12/29/2021,01/10/2022,26.5,"1,375",364.375,22.7,30.6,22.7 - 30.6,24.3-26.6,,24.3-26.6,,20.5-24.2,35412
