Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,date,Time Period End Date,Value,Number of Respondents,value1,LowCI,HighCI,Confidence Interval,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,value2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Jersey,New Jersey,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,18.7,"2,209",413.083,16.2,21.5,16.2 - 21.5,18.5-20.5,,20.6-22.5,,22.6-26.8,,20.6-22.5,12341
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Jersey,New Jersey,2,14,"Sep 2 - Sep 14, 2020",09/02/2020,09/14/2020,17.9,"2,216",396.664,14.8,21.3,14.8 - 21.3,11.2-18.8,,22.9-30.1,,22.9-30.1,,18.9-21.2,10768
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Jersey,New Jersey,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,17.4,"1,922",334.428,14.4,20.7,14.4 - 20.7,10.1-19.1,,21.4-22.9,,21.4-22.9,,23.0-25.9,10971
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Jersey,New Jersey,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,16.7,"1,929",322.143,13.9,19.8,13.9 - 19.8,13.0-19.0,,13.0-19.0,,22.5-32.1,,22.5-32.1,14745
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Jersey,New Jersey,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,16.1,"1,693",272.573,13.7,18.8,13.7 - 18.8,10.0-19.1,,24.2-27.2,,24.2-27.2,,21.2-24.1,21370
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Jersey,New Jersey,3 (Oct 28 ��� Dec 21),18,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,17.5,"1,072",187.6,13.7,21.8,13.7 - 21.8,13.7-19.7,,19.8-21.7,,23.9-27.6,,23.9-27.6,34078
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Jersey,New Jersey,3 (Oct 28 ��� Dec 21),19,"Nov 11 - Nov 23, 2020",11/11/2020,11/23/2020,21.8,"1,381",301.058,18.3,25.6,18.3 - 25.6,20.2-22.1,,22.2-25.0,,25.1-31.4,,25.1-31.4,60182
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Jersey,New Jersey,3 (Oct 28 ��� Dec 21),20,"Nov 25 - Dec 7, 2020",11/25/2020,12/07/2020,18.7,"1,263",236.181,15.3,22.6,15.3 - 22.6,13.2-20.2,,25.1-33.0,,20.3-23.3,,23.4-25.0,103372
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Jersey,New Jersey,3 (Oct 28 ��� Dec 21),21,"Dec 9 - Dec 21, 2020",12/09/2020,12/21/2020,17.7,"1,286",227.622,15.2,20.4,15.2 - 20.4,12.5-20.1,,25.6-34.2,,23.2-25.5,,23.2-25.5,140266
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Jersey,New Jersey,3 (Jan 6 ��� Mar 29),22,"Jan 6 - Jan 18, 2021",01/06/2021,01/18/2021,16.2,"1,427",231.174,13.5,19.2,13.5 - 19.2,15.1-20.0,,22.0-24.5,,24.6-28.5,,22.0-24.5,143899
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Jersey,New Jersey,3 (Jan 6 ��� Mar 29),23,"Jan 20 - Feb 1, 2021",01/20/2021,02/01/2021,20.4,"1,670",340.68,16.9,24.4,16.9 - 24.4,11.2-20.4,,25.0-29.2,,25.0-29.2,,23.1-24.9,155695
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Jersey,New Jersey,3 (Jan 6 ��� Mar 29),24,"Feb 3 - Feb 15, 2021",02/03/2021,02/15/2021,18.6,"1,555",289.23,15.1,22.4,15.1 - 22.4,12.1-19.4,,22.9-24.6,,24.7-31.8,,12.1-19.4,154388
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Jersey,New Jersey,3 (Jan 6 ��� Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,15.2,"1,686",256.272,12.9,17.8,12.9 - 17.8,12.2-19.7,,22.7-24.7,,24.8-27.9,,22.7-24.7,119472
