Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,date,Time Period End Date,Value,Number of Respondents,value1,LowCI,HighCI,Confidence Interval,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,value2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Mexico,New Mexico,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,18.5,"1,650",305.25,15.5,21.9,15.5 - 21.9,18.5-20.5,,20.6-22.5,,22.6-26.8,,20.6-22.5,6232
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Mexico,New Mexico,2,14,"Sep 2 - Sep 14, 2020",09/02/2020,09/14/2020,18.8,"1,784",335.392,16.3,21.5,16.3 - 21.5,11.2-18.8,,22.9-30.1,,22.9-30.1,,18.9-21.2,4272
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Mexico,New Mexico,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,22.7,"1,551",352.077,18.8,26.9,18.8 - 26.9,21.4-22.9,,21.4-22.9,,21.4-22.9,,23.0-25.9,3462
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Mexico,New Mexico,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,20.4,"1,547",315.588,17.3,23.9,17.3 - 23.9,20.4-22.4,,13.0-19.0,,22.5-32.1,,22.5-32.1,3975
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Mexico,New Mexico,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,20.4,"1,483",302.532,16.9,24.3,16.9 - 24.3,19.2-21.1,,24.2-27.2,,24.2-27.2,,21.2-24.1,7367
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Mexico,New Mexico,3 (Oct 28 ��� Dec 21),18,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,24.9,"1,147",285.603,19.2,31.4,19.2 - 31.4,23.9-27.6,,19.8-21.7,,23.9-27.6,,23.9-27.6,14669
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Mexico,New Mexico,3 (Oct 28 ��� Dec 21),19,"Nov 11 - Nov 23, 2020",11/11/2020,11/23/2020,19.5,"1,430",278.85,15.9,23.6,15.9 - 23.6,13.2-20.1,,22.2-25.0,,25.1-31.4,,25.1-31.4,25321
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Mexico,New Mexico,3 (Oct 28 ��� Dec 21),20,"Nov 25 - Dec 7, 2020",11/25/2020,12/07/2020,20.8,"1,360",282.88,17.3,24.6,17.3 - 24.6,20.3-23.3,,25.1-33.0,,20.3-23.3,,23.4-25.0,44933
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Mexico,New Mexico,3 (Oct 28 ��� Dec 21),21,"Dec 9 - Dec 21, 2020",12/09/2020,12/21/2020,18.9,"1,369",258.741,15.7,22.4,15.7 - 22.4,12.5-20.1,,25.6-34.2,,23.2-25.5,,23.2-25.5,55403
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Mexico,New Mexico,3 (Jan 6 ��� Mar 29),22,"Jan 6 - Jan 18, 2021",01/06/2021,01/18/2021,15.4,"1,366",210.364,12.6,18.6,12.6 - 18.6,15.1-20.0,,22.0-24.5,,24.6-28.5,,22.0-24.5,40037
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Mexico,New Mexico,3 (Jan 6 ��� Mar 29),23,"Jan 20 - Feb 1, 2021",01/20/2021,02/01/2021,19.9,"1,619",322.181,16.9,23.2,16.9 - 23.2,11.2-20.4,,25.0-29.2,,25.0-29.2,,23.1-24.9,33760
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Mexico,New Mexico,3 (Jan 6 ��� Mar 29),24,"Feb 3 - Feb 15, 2021",02/03/2021,02/15/2021,24.2,"1,658",401.236,20.3,28.4,20.3 - 28.4,22.9-24.6,,22.9-24.6,,24.7-31.8,,12.1-19.4,27153
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Mexico,New Mexico,3 (Jan 6 ��� Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,22.8,"1,685",384.18,19.4,26.4,19.4 - 26.4,22.7-24.7,,22.7-24.7,,24.8-27.9,,22.7-24.7,16378
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Mexico,New Mexico,3 (Jan 6 ��� Mar 29),26,"Mar 3 - Mar 15, 2021",03/03/2021,03/15/2021,15.5,"1,704",264.12,13.3,17.9,13.3 - 17.9,11.3-20.2,,20.3-22.7,,22.8-23.8,,22.8-23.8,10916
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Mexico,New Mexico,3 (Jan 6 ��� Mar 29),27,"Mar 17 - Mar 29, 2021",03/17/2021,03/29/2021,18.7,"1,681",314.347,15.9,21.9,15.9 - 21.9,11.6-19.3,,19.4-22.2,,24.2-28.7,,24.2-28.7,7847
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Mexico,New Mexico,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,17.3,"1,524",263.652,14.2,20.7,14.2 - 20.7,14.7-19.9,,23.9-32.3,,23.9-32.3,,21.1-23.8,5714
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Mexico,New Mexico,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,19.8,"1,600",316.8,16.9,22.9,16.9 - 22.9,15.4-20.1,,22.8-24.6,,22.8-24.6,,24.7-29.7,5841
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Mexico,New Mexico,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,20.2,"1,481",299.162,15.9,25,15.9 - 25.0,19.1-22.5,,19.1-22.5,,24.8-29.2,,22.6-24.7,6068
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Mexico,New Mexico,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,19.4,"1,343",260.542,15.9,23.3,15.9 - 23.3,12.2-19.6,,25.2-29.5,,22.9-25.1,,25.2-29.5,5573
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Mexico,New Mexico,3.1,32,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,23,"1,402",322.46,18.8,27.7,18.8 - 27.7,22.2-24.9,,20.6-22.1,,25.0-29.2,,22.2-24.9,3786
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Mexico,New Mexico,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,23.1,"1,448",334.488,18.7,27.9,18.7 - 27.9,20.3-23.1,,23.2-25.0,,23.2-25.0,,25.1-28.4,2729
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Mexico,New Mexico,3.2,34,"Jul 21 - Aug 2, 2021",07/21/2021,08/02/2021,19.9,"1,328",264.272,16.4,23.6,16.4 - 23.6,13.1-21.1,,23.9-26.7,,26.8-30.6,,26.8-30.6,2914
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Mexico,New Mexico,3.2,35,"Aug 4 - Aug 16, 2021",08/04/2021,08/16/2021,22.3,"1,364",304.172,18.3,26.8,18.3 - 26.8,21.5-23.8,,23.9-25.8,,25.9-30.8,,23.9-25.8,6662
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Mexico,New Mexico,3.2,36,"Aug 18 - Aug 30, 2021",08/18/2021,08/30/2021,20,"1,373",274.6,16.9,23.5,16.9 - 23.5,13.7-20.4,,23.5-26.5,,23.5-26.5,,26.6-31.4,14259
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Mexico,New Mexico,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,22.7,"1,220",276.94,19.3,26.3,19.3 - 26.3,21.1-24.3,,26.2-29.3,,24.4-26.1,,24.4-26.1,21517
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Mexico,New Mexico,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,24.9,"1,144",284.856,20.5,29.7,20.5 - 29.7,24.4-26.1,,26.2-30.8,,21.4-24.3,,24.4-26.1,21999
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Mexico,New Mexico,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,21.8,"1,114",242.852,17.8,26.3,17.8 - 26.3,20.8-24.1,,24.2-26.3,,26.4-33.6,,26.4-33.6,19403
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Mexico,New Mexico,3.3,40,"Dec 1 - Dec 13, 2021",12/01/2021,12/13/2021,20,"1,105",221,16.5,23.8,16.5 - 23.8,12.4-20.3,,20.4-23.5,,23.6-27.0,,20.4-23.5,37580
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Mexico,New Mexico,3.3,41,"Dec 29, 2021 - Jan 10, 2022",12/29/2021,01/10/2022,24.3,"1,152",279.936,19.8,29.4,19.8 - 29.4,24.3-26.6,,24.3-26.6,,24.3-26.6,,20.5-24.2,33567
