Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,date,Time Period End Date,Value,Number of Respondents,value1,LowCI,HighCI,Confidence Interval,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,value2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New York,New York,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,17.8,"2,338",416.164,15.3,20.5,15.3 - 20.5,12.2-18.4,,20.6-22.5,,22.6-26.8,,20.6-22.5,10100
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New York,New York,2,14,"Sep 2 - Sep 14, 2020",09/02/2020,09/14/2020,17.8,"2,415",429.87,15,20.9,15.0 - 20.9,11.2-18.8,,22.9-30.1,,22.9-30.1,,18.9-21.2,10103
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New York,New York,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,15.9,"2,135",339.465,13.5,18.6,13.5 - 18.6,10.1-19.1,,21.4-22.9,,21.4-22.9,,23.0-25.9,11912
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New York,New York,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,18.4,"2,123",390.632,15.9,21.1,15.9 - 21.1,13.0-19.0,,13.0-19.0,,22.5-32.1,,22.5-32.1,13640
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New York,New York,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,15.5,"1,939",300.545,13.1,18.2,13.1 - 18.2,10.0-19.1,,24.2-27.2,,24.2-27.2,,21.2-24.1,18833
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New York,New York,3 (Oct 28 ��� Dec 21),18,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,13.7,"1,175",160.975,11,16.7,11.0 - 16.7,13.7-19.7,,19.8-21.7,,23.9-27.6,,23.9-27.6,26076
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New York,New York,3 (Oct 28 ��� Dec 21),19,"Nov 11 - Nov 23, 2020",11/11/2020,11/23/2020,19.4,"1,376",266.944,16,23.2,16.0 - 23.2,13.2-20.1,,22.2-25.0,,25.1-31.4,,25.1-31.4,40245
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New York,New York,3 (Oct 28 ��� Dec 21),20,"Nov 25 - Dec 7, 2020",11/25/2020,12/07/2020,19.5,"1,496",291.72,16.1,23.2,16.1 - 23.2,13.2-20.2,,25.1-33.0,,20.3-23.3,,23.4-25.0,74139
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New York,New York,3 (Oct 28 ��� Dec 21),21,"Dec 9 - Dec 21, 2020",12/09/2020,12/21/2020,16.9,"1,384",233.896,14.2,19.9,14.2 - 19.9,12.5-20.1,,25.6-34.2,,23.2-25.5,,23.2-25.5,129528
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New York,New York,3 (Jan 6 ��� Mar 29),22,"Jan 6 - Jan 18, 2021",01/06/2021,01/18/2021,15.1,"1,360",205.36,12.3,18.3,12.3 - 18.3,15.1-20.0,,22.0-24.5,,24.6-28.5,,22.0-24.5,218311
