Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,date,Time Period End Date,Value,Number of Respondents,value1,LowCI,HighCI,Confidence Interval,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,value2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Carolina,North Carolina,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,19.4,"1,806",350.364,16.7,22.3,16.7 - 22.3,18.5-20.5,,20.6-22.5,,22.6-26.8,,20.6-22.5,47429
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Carolina,North Carolina,2,14,"Sep 2 - Sep 14, 2020",09/02/2020,09/14/2020,22.3,"1,816",404.968,18.7,26.3,18.7 - 26.3,21.3-22.8,,22.9-30.1,,22.9-30.1,,18.9-21.2,43999
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Carolina,North Carolina,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,20.4,"1,608",328.032,17.1,24.1,17.1 - 24.1,19.2-21.3,,21.4-22.9,,21.4-22.9,,23.0-25.9,42191
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Carolina,North Carolina,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,21.9,"1,393",305.067,18.4,25.7,18.4 - 25.7,20.4-22.4,,13.0-19.0,,22.5-32.1,,22.5-32.1,38711
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Carolina,North Carolina,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,19.4,"1,320",256.08,16.1,23.1,16.1 - 23.1,19.2-21.1,,24.2-27.2,,24.2-27.2,,21.2-24.1,46144
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Carolina,North Carolina,3 (Oct 28 ��� Dec 21),18,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,20.4,879,179.316,16.6,24.7,16.6 - 24.7,19.8-21.7,,19.8-21.7,,23.9-27.6,,23.9-27.6,57001
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Carolina,North Carolina,3 (Oct 28 ��� Dec 21),19,"Nov 11 - Nov 23, 2020",11/11/2020,11/23/2020,26.4,"1,196",315.744,21.9,31.4,21.9 - 31.4,25.1-31.4,,22.2-25.0,,25.1-31.4,,25.1-31.4,66036
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Carolina,North Carolina,3 (Oct 28 ��� Dec 21),20,"Nov 25 - Dec 7, 2020",11/25/2020,12/07/2020,18.9,"1,163",219.807,15.8,22.4,15.8 - 22.4,13.2-20.2,,25.1-33.0,,20.3-23.3,,23.4-25.0,84773
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Carolina,North Carolina,3 (Oct 28 ��� Dec 21),21,"Dec 9 - Dec 21, 2020",12/09/2020,12/21/2020,22.5,"1,165",262.125,18.9,26.5,18.9 - 26.5,20.2-23.1,,25.6-34.2,,23.2-25.5,,23.2-25.5,118419
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Carolina,North Carolina,3 (Jan 6 ��� Mar 29),22,"Jan 6 - Jan 18, 2021",01/06/2021,01/18/2021,23.6,"1,160",273.76,18.8,28.9,18.8 - 28.9,22.0-24.5,,22.0-24.5,,24.6-28.5,,22.0-24.5,184503
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Carolina,North Carolina,3 (Jan 6 ��� Mar 29),23,"Jan 20 - Feb 1, 2021",01/20/2021,02/01/2021,18.3,"1,414",258.762,15.1,21.9,15.1 - 21.9,11.2-20.4,,25.0-29.2,,25.0-29.2,,23.1-24.9,204567
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Carolina,North Carolina,3 (Jan 6 ��� Mar 29),24,"Feb 3 - Feb 15, 2021",02/03/2021,02/15/2021,26.4,"1,341",354.024,22.6,30.4,22.6 - 30.4,24.7-31.8,,22.9-24.6,,24.7-31.8,,12.1-19.4,193797
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Carolina,North Carolina,3 (Jan 6 ��� Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,24.7,"1,318",325.546,20.7,29.1,20.7 - 29.1,22.7-24.7,,22.7-24.7,,24.8-27.9,,22.7-24.7,135268
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Carolina,North Carolina,3 (Jan 6 ��� Mar 29),26,"Mar 3 - Mar 15, 2021",03/03/2021,03/15/2021,22.9,"1,363",312.127,19.6,26.6,19.6 - 26.6,22.8-23.8,,20.3-22.7,,22.8-23.8,,22.8-23.8,85757
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Carolina,North Carolina,3 (Jan 6 ��� Mar 29),27,"Mar 17 - Mar 29, 2021",03/17/2021,03/29/2021,22.4,"1,285",287.84,19.5,25.6,19.5 - 25.6,22.3-24.1,,19.4-22.2,,24.2-28.7,,24.2-28.7,58172
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Carolina,North Carolina,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,25.4,"1,227",311.658,21.1,29.9,21.1 - 29.9,23.9-32.3,,23.9-32.3,,23.9-32.3,,21.1-23.8,49518
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Carolina,North Carolina,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,21,"1,290",270.9,17.5,25,17.5 - 25.0,20.2-22.7,,22.8-24.6,,22.8-24.6,,24.7-29.7,51847
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Carolina,North Carolina,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,23.6,"1,225",289.1,19.4,28.2,19.4 - 28.2,22.6-24.7,,19.1-22.5,,24.8-29.2,,22.6-24.7,47826
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Carolina,North Carolina,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,24.4,"1,245",303.78,20,29.3,20.0 - 29.3,22.9-25.1,,25.2-29.5,,22.9-25.1,,25.2-29.5,34429
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Carolina,North Carolina,3.1,32,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,22.5,"1,245",280.125,18.6,26.7,18.6 - 26.7,22.2-24.9,,20.6-22.1,,25.0-29.2,,22.2-24.9,21074
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Carolina,North Carolina,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,28.1,"1,209",339.729,23.1,33.6,23.1 - 33.6,25.1-28.4,,23.2-25.0,,23.2-25.0,,25.1-28.4,13498
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Carolina,North Carolina,3.2,34,"Jul 21 - Aug 2, 2021",07/21/2021,08/02/2021,26.3,"1,210",318.23,22.3,30.6,22.3 - 30.6,23.9-26.7,,23.9-26.7,,26.8-30.6,,26.8-30.6,20398
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Carolina,North Carolina,3.2,35,"Aug 4 - Aug 16, 2021",08/04/2021,08/16/2021,24.7,"1,217",300.599,21.3,28.3,21.3 - 28.3,23.9-25.8,,23.9-25.8,,25.9-30.8,,23.9-25.8,53585
