Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,date,Time Period End Date,Value,Number of Respondents,value1,LowCI,HighCI,Confidence Interval,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,value2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Dakota,North Dakota,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,19.6,995,195.02,15.8,23.9,15.8 - 23.9,18.5-20.5,,20.6-22.5,,22.6-26.8,,20.6-22.5,3875
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Dakota,North Dakota,2,14,"Sep 2 - Sep 14, 2020",09/02/2020,09/14/2020,15.7,"1,073",168.461,13,18.7,13.0 - 18.7,11.2-18.8,,22.9-30.1,,22.9-30.1,,18.9-21.2,5572
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Dakota,North Dakota,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,22.6,993,224.418,19.2,26.3,19.2 - 26.3,21.4-22.9,,21.4-22.9,,21.4-22.9,,23.0-25.9,7365
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Dakota,North Dakota,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,19.4,935,181.39,16.5,22.6,16.5 - 22.6,19.1-20.3,,13.0-19.0,,22.5-32.1,,22.5-32.1,9951
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Dakota,North Dakota,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,20.6,945,194.67,16.4,25.2,16.4 - 25.2,19.2-21.1,,24.2-27.2,,24.2-27.2,,21.2-24.1,13320
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Dakota,North Dakota,3 (Oct 28 ��� Dec 21),18,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,21.3,583,124.179,17.5,25.4,17.5 - 25.4,19.8-21.7,,19.8-21.7,,23.9-27.6,,23.9-27.6,19284
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Dakota,North Dakota,3 (Oct 28 ��� Dec 21),19,"Nov 11 - Nov 23, 2020",11/11/2020,11/23/2020,21.2,685,145.22,17.8,24.9,17.8 - 24.9,20.2-22.1,,22.2-25.0,,25.1-31.4,,25.1-31.4,30226
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Dakota,North Dakota,3 (Oct 28 ��� Dec 21),20,"Nov 25 - Dec 7, 2020",11/25/2020,12/07/2020,22.9,723,165.567,18.2,28.1,18.2 - 28.1,20.3-23.3,,25.1-33.0,,20.3-23.3,,23.4-25.0,36535
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Dakota,North Dakota,3 (Oct 28 ��� Dec 21),21,"Dec 9 - Dec 21, 2020",12/09/2020,12/21/2020,21.1,601,126.811,16.4,26.5,16.4 - 26.5,20.2-23.1,,25.6-34.2,,23.2-25.5,,23.2-25.5,29334
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Dakota,North Dakota,3 (Jan 6 ��� Mar 29),22,"Jan 6 - Jan 18, 2021",01/06/2021,01/18/2021,22.8,588,134.064,17.6,28.6,17.6 - 28.6,22.0-24.5,,22.0-24.5,,24.6-28.5,,22.0-24.5,8006
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Dakota,North Dakota,3 (Jan 6 ��� Mar 29),23,"Jan 20 - Feb 1, 2021",01/20/2021,02/01/2021,22.7,619,140.513,18.3,27.5,18.3 - 27.5,20.5-23.0,,25.0-29.2,,25.0-29.2,,23.1-24.9,5647
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Dakota,North Dakota,3 (Jan 6 ��� Mar 29),24,"Feb 3 - Feb 15, 2021",02/03/2021,02/15/2021,20.5,652,133.66,16.5,25,16.5 - 25.0,19.5-22.8,,22.9-24.6,,24.7-31.8,,12.1-19.4,4202
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Dakota,North Dakota,3 (Jan 6 ��� Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,26.2,605,158.51,20.1,33.1,20.1 - 33.1,24.8-27.9,,22.7-24.7,,24.8-27.9,,22.7-24.7,2812
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Dakota,North Dakota,3 (Jan 6 ��� Mar 29),26,"Mar 3 - Mar 15, 2021",03/03/2021,03/15/2021,23.4,667,156.078,18.7,28.7,18.7 - 28.7,22.8-23.8,,20.3-22.7,,22.8-23.8,,22.8-23.8,2131
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Dakota,North Dakota,3 (Jan 6 ��� Mar 29),27,"Mar 17 - Mar 29, 2021",03/17/2021,03/29/2021,21.9,611,133.809,17.1,27.3,17.1 - 27.3,19.4-22.2,,19.4-22.2,,24.2-28.7,,24.2-28.7,2502
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Dakota,North Dakota,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,22.4,506,113.344,16.4,29.5,16.4 - 29.5,21.1-23.8,,23.9-32.3,,23.9-32.3,,21.1-23.8,4096
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Dakota,North Dakota,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,23.1,596,137.676,19.1,27.4,19.1 - 27.4,22.8-24.6,,22.8-24.6,,22.8-24.6,,24.7-29.7,4207
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Dakota,North Dakota,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,19,531,100.89,14.4,24.3,14.4 - 24.3,13.3-19.0,,19.1-22.5,,24.8-29.2,,22.6-24.7,3662
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Dakota,North Dakota,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,29.5,485,143.075,23.5,36,23.5 - 36.0,25.2-29.5,,25.2-29.5,,22.9-25.1,,25.2-29.5,2666
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Dakota,North Dakota,3.1,32,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,25.1,518,130.018,20.2,30.4,20.2 - 30.4,25.0-29.2,,20.6-22.1,,25.0-29.2,,22.2-24.9,1588
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Dakota,North Dakota,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,20.2,505,102.01,15.7,25.4,15.7 - 25.4,15.9-20.2,,23.2-25.0,,23.2-25.0,,25.1-28.4,847
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Dakota,North Dakota,3.2,34,"Jul 21 - Aug 2, 2021",07/21/2021,08/02/2021,21.8,397,86.546,16.3,28.2,16.3 - 28.2,21.2-23.8,,23.9-26.7,,26.8-30.6,,26.8-30.6,513
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Dakota,North Dakota,3.2,35,"Aug 4 - Aug 16, 2021",08/04/2021,08/16/2021,22.1,469,103.649,16.6,28.5,16.6 - 28.5,21.5-23.8,,23.9-25.8,,25.9-30.8,,23.9-25.8,1271
