Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,date,Time Period End Date,Value,Number of Respondents,value1,LowCI,HighCI,Confidence Interval,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,value2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oklahoma,Oklahoma,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,21.9,"1,674",366.606,19.1,24.8,19.1 - 24.8,20.6-22.5,,20.6-22.5,,22.6-26.8,,20.6-22.5,18765
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oklahoma,Oklahoma,2,14,"Sep 2 - Sep 14, 2020",09/02/2020,09/14/2020,22.6,"1,694",382.844,19.3,26.1,19.3 - 26.1,21.3-22.8,,22.9-30.1,,22.9-30.1,,18.9-21.2,20499
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oklahoma,Oklahoma,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,20.7,"1,580",327.06,17.2,24.6,17.2 - 24.6,19.2-21.3,,21.4-22.9,,21.4-22.9,,23.0-25.9,24614
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oklahoma,Oklahoma,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,26.2,"1,480",387.76,22.3,30.3,22.3 - 30.3,22.5-32.1,,13.0-19.0,,22.5-32.1,,22.5-32.1,29966
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oklahoma,Oklahoma,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,22.8,"1,395",318.06,19.7,26.2,19.7 - 26.2,21.2-24.1,,24.2-27.2,,24.2-27.2,,21.2-24.1,33640
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oklahoma,Oklahoma,3 (Oct 28 ��� Dec 21),18,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,23.9,819,195.741,19.1,29.2,19.1 - 29.2,23.9-27.6,,19.8-21.7,,23.9-27.6,,23.9-27.6,35757
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oklahoma,Oklahoma,3 (Oct 28 ��� Dec 21),19,"Nov 11 - Nov 23, 2020",11/11/2020,11/23/2020,26.4,"1,100",290.4,22.3,30.8,22.3 - 30.8,25.1-31.4,,22.2-25.0,,25.1-31.4,,25.1-31.4,52705
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oklahoma,Oklahoma,3 (Oct 28 ��� Dec 21),20,"Nov 25 - Dec 7, 2020",11/25/2020,12/07/2020,25.5,"1,034",263.67,22.1,29,22.1 - 29.0,25.1-33.0,,25.1-33.0,,20.3-23.3,,23.4-25.0,80611
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oklahoma,Oklahoma,3 (Oct 28 ��� Dec 21),21,"Dec 9 - Dec 21, 2020",12/09/2020,12/21/2020,27.5,"1,016",279.4,23.5,31.9,23.5 - 31.9,25.6-34.2,,25.6-34.2,,23.2-25.5,,23.2-25.5,90893
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oklahoma,Oklahoma,3 (Jan 6 ��� Mar 29),22,"Jan 6 - Jan 18, 2021",01/06/2021,01/18/2021,23.3,"1,006",234.398,19.9,27.1,19.9 - 27.1,22.0-24.5,,22.0-24.5,,24.6-28.5,,22.0-24.5,100513
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oklahoma,Oklahoma,3 (Jan 6 ��� Mar 29),23,"Jan 20 - Feb 1, 2021",01/20/2021,02/01/2021,27.7,"1,152",319.104,22.9,33,22.9 - 33.0,25.0-29.2,,25.0-29.2,,25.0-29.2,,23.1-24.9,92981
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oklahoma,Oklahoma,3 (Jan 6 ��� Mar 29),24,"Feb 3 - Feb 15, 2021",02/03/2021,02/15/2021,27.6,"1,042",287.592,23.1,32.5,23.1 - 32.5,24.7-31.8,,22.9-24.6,,24.7-31.8,,12.1-19.4,71821
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oklahoma,Oklahoma,3 (Jan 6 ��� Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,23.1,"1,089",251.559,19.8,26.6,19.8 - 26.6,22.7-24.7,,22.7-24.7,,24.8-27.9,,22.7-24.7,45027
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oklahoma,Oklahoma,3 (Jan 6 ��� Mar 29),26,"Mar 3 - Mar 15, 2021",03/03/2021,03/15/2021,20.7,"1,094",226.458,17.2,24.6,17.2 - 24.6,20.3-22.7,,20.3-22.7,,22.8-23.8,,22.8-23.8,21775
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oklahoma,Oklahoma,3 (Jan 6 ��� Mar 29),27,"Mar 17 - Mar 29, 2021",03/17/2021,03/29/2021,28.5,"1,028",292.98,23,34.6,23.0 - 34.6,24.2-28.7,,19.4-22.2,,24.2-28.7,,24.2-28.7,11532
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oklahoma,Oklahoma,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,20.5,940,192.7,16.2,25.3,16.2 - 25.3,20.0-21.0,,23.9-32.3,,23.9-32.3,,21.1-23.8,6866
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oklahoma,Oklahoma,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,25.3,"1,066",269.698,21.8,29.1,21.8 - 29.1,24.7-29.7,,22.8-24.6,,22.8-24.6,,24.7-29.7,6605
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oklahoma,Oklahoma,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,27.3,"1,037",283.101,22.3,32.8,22.3 - 32.8,24.8-29.2,,19.1-22.5,,24.8-29.2,,22.6-24.7,5859
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oklahoma,Oklahoma,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,25.1,886,222.386,19.9,30.8,19.9 - 30.8,22.9-25.1,,25.2-29.5,,22.9-25.1,,25.2-29.5,4158
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oklahoma,Oklahoma,3.1,32,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,27.5,894,245.85,22.8,32.6,22.8 - 32.6,25.0-29.2,,20.6-22.1,,25.0-29.2,,22.2-24.9,3152
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oklahoma,Oklahoma,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,26.6,961,255.626,21.2,32.6,21.2 - 32.6,25.1-28.4,,23.2-25.0,,23.2-25.0,,25.1-28.4,4190
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oklahoma,Oklahoma,3.2,34,"Jul 21 - Aug 2, 2021",07/21/2021,08/02/2021,28.6,918,262.548,24.4,33,24.4 - 33.0,26.8-30.6,,23.9-26.7,,26.8-30.6,,26.8-30.6,13569
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oklahoma,Oklahoma,3.2,35,"Aug 4 - Aug 16, 2021",08/04/2021,08/16/2021,28.1,945,265.545,23.7,32.9,23.7 - 32.9,25.9-30.8,,23.9-25.8,,25.9-30.8,,23.9-25.8,32005
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oklahoma,Oklahoma,3.2,36,"Aug 18 - Aug 30, 2021",08/18/2021,08/30/2021,25.7,969,249.033,21.5,30.3,21.5 - 30.3,23.5-26.5,,23.5-26.5,,23.5-26.5,,26.6-31.4,53124
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oklahoma,Oklahoma,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,23.8,911,216.818,20,27.9,20.0 - 27.9,21.1-24.3,,26.2-29.3,,24.4-26.1,,24.4-26.1,68432
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oklahoma,Oklahoma,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,26.5,804,213.06,23,30.3,23.0 - 30.3,26.2-30.8,,26.2-30.8,,21.4-24.3,,24.4-26.1,70927
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oklahoma,Oklahoma,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,26.3,778,204.614,21.9,31.1,21.9 - 31.1,24.2-26.3,,24.2-26.3,,26.4-33.6,,26.4-33.6,59269
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oklahoma,Oklahoma,3.3,40,"Dec 1 - Dec 13, 2021",12/01/2021,12/13/2021,30.7,845,259.415,26.5,35.2,26.5 - 35.2,27.1-34.4,,20.4-23.5,,23.6-27.0,,20.4-23.5,22996
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oklahoma,Oklahoma,3.3,41,"Dec 29, 2021 - Jan 10, 2022",12/29/2021,01/10/2022,26,"1,047",272.22,22,30.2,22.0 - 30.2,24.3-26.6,,24.3-26.6,,24.3-26.6,,20.5-24.2,37452
