Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,date,Time Period End Date,Value,Number of Respondents,value1,LowCI,HighCI,Confidence Interval,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,value2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oregon,Oregon,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,22.9,"2,611",597.919,20.1,25.9,20.1 - 25.9,22.6-26.8,,20.6-22.5,,22.6-26.8,,20.6-22.5,8731
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oregon,Oregon,2,14,"Sep 2 - Sep 14, 2020",09/02/2020,09/14/2020,21.2,"2,680",568.16,19.3,23.2,19.3 - 23.2,18.9-21.2,,22.9-30.1,,22.9-30.1,,18.9-21.2,7376
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oregon,Oregon,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,18.2,"2,623",477.386,16.2,20.4,16.2 - 20.4,10.1-19.1,,21.4-22.9,,21.4-22.9,,23.0-25.9,6174
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oregon,Oregon,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,21.2,"2,590",549.08,19,23.6,19.0 - 23.6,20.4-22.4,,13.0-19.0,,22.5-32.1,,22.5-32.1,6563
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oregon,Oregon,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,24.3,"2,459",597.537,21.6,27.1,21.6 - 27.1,24.2-27.2,,24.2-27.2,,24.2-27.2,,21.2-24.1,8498
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oregon,Oregon,3 (Oct 28 ��� Dec 21),18,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,22.2,"1,585",351.87,19.3,25.3,19.3 - 25.3,21.8-23.8,,19.8-21.7,,23.9-27.6,,23.9-27.6,9937
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oregon,Oregon,3 (Oct 28 ��� Dec 21),19,"Nov 11 - Nov 23, 2020",11/11/2020,11/23/2020,21.2,"1,899",402.588,18.3,24.4,18.3 - 24.4,20.2-22.1,,22.2-25.0,,25.1-31.4,,25.1-31.4,14990
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oregon,Oregon,3 (Oct 28 ��� Dec 21),20,"Nov 25 - Dec 7, 2020",11/25/2020,12/07/2020,22.3,"1,910",425.93,19.2,25.6,19.2 - 25.6,20.3-23.3,,25.1-33.0,,20.3-23.3,,23.4-25.0,25695
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oregon,Oregon,3 (Oct 28 ��� Dec 21),21,"Dec 9 - Dec 21, 2020",12/09/2020,12/21/2020,21.9,"1,805",395.295,19.6,24.4,19.6 - 24.4,20.2-23.1,,25.6-34.2,,23.2-25.5,,23.2-25.5,36378
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oregon,Oregon,3 (Jan 6 ��� Mar 29),22,"Jan 6 - Jan 18, 2021",01/06/2021,01/18/2021,20.9,"1,694",354.046,17.7,24.3,17.7 - 24.3,20.1-21.9,,22.0-24.5,,24.6-28.5,,22.0-24.5,33141
