Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,date,Time Period End Date,Value,Number of Respondents,value1,LowCI,HighCI,Confidence Interval,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,value2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,22.1,"2,731",603.551,19.1,25.3,19.1 - 25.3,20.6-22.5,,20.6-22.5,,22.6-26.8,,20.6-22.5,24009
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,2,14,"Sep 2 - Sep 14, 2020",09/02/2020,09/14/2020,20.1,"2,632",529.032,17.4,22.9,17.4 - 22.9,18.9-21.2,,22.9-30.1,,22.9-30.1,,18.9-21.2,21398
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,22.6,"2,274",513.924,19.2,26.2,19.2 - 26.2,21.4-22.9,,21.4-22.9,,21.4-22.9,,23.0-25.9,21992
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,20.1,"2,215",445.215,17.4,23.1,17.4 - 23.1,19.1-20.3,,13.0-19.0,,22.5-32.1,,22.5-32.1,24558
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,24.1,"2,034",490.194,20.4,28.1,20.4 - 28.1,21.2-24.1,,24.2-27.2,,24.2-27.2,,21.2-24.1,29840
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,3 (Oct 28 ��� Dec 21),18,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,26.4,"1,420",374.88,23.1,30,23.1 - 30.0,23.9-27.6,,19.8-21.7,,23.9-27.6,,23.9-27.6,42889
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,3 (Oct 28 ��� Dec 21),19,"Nov 11 - Nov 23, 2020",11/11/2020,11/23/2020,20.9,"1,794",374.946,17.8,24.2,17.8 - 24.2,20.2-22.1,,22.2-25.0,,25.1-31.4,,25.1-31.4,69742
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,3 (Oct 28 ��� Dec 21),20,"Nov 25 - Dec 7, 2020",11/25/2020,12/07/2020,23.5,"1,862",437.57,20.4,26.8,20.4 - 26.8,23.4-25.0,,25.1-33.0,,20.3-23.3,,23.4-25.0,131366
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,3 (Oct 28 ��� Dec 21),21,"Dec 9 - Dec 21, 2020",12/09/2020,12/21/2020,21.9,"1,861",407.559,18.7,25.4,18.7 - 25.4,20.2-23.1,,25.6-34.2,,23.2-25.5,,23.2-25.5,208140
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,3 (Jan 6 ��� Mar 29),22,"Jan 6 - Jan 18, 2021",01/06/2021,01/18/2021,24.4,"1,663",405.772,21.1,28,21.1 - 28.0,22.0-24.5,,22.0-24.5,,24.6-28.5,,22.0-24.5,246307
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,3 (Jan 6 ��� Mar 29),23,"Jan 20 - Feb 1, 2021",01/20/2021,02/01/2021,26.7,"2,041",544.947,23.4,30.2,23.4 - 30.2,25.0-29.2,,25.0-29.2,,25.0-29.2,,23.1-24.9,210899
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,3 (Jan 6 ��� Mar 29),24,"Feb 3 - Feb 15, 2021",02/03/2021,02/15/2021,23,"1,914",440.22,20,26.2,20.0 - 26.2,22.9-24.6,,22.9-24.6,,24.7-31.8,,12.1-19.4,178982
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,3 (Jan 6 ��� Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,25.4,"1,958",497.332,21.8,29.4,21.8 - 29.4,24.8-27.9,,22.7-24.7,,24.8-27.9,,22.7-24.7,124010
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,3 (Jan 6 ��� Mar 29),26,"Mar 3 - Mar 15, 2021",03/03/2021,03/15/2021,23.8,"1,970",468.86,20.7,27,20.7 - 27.0,22.8-23.8,,20.3-22.7,,22.8-23.8,,22.8-23.8,86531
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,3 (Jan 6 ��� Mar 29),27,"Mar 17 - Mar 29, 2021",03/17/2021,03/29/2021,21,"2,038",427.98,17.4,24.9,17.4 - 24.9,19.4-22.2,,19.4-22.2,,24.2-28.7,,24.2-28.7,74160
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,23.8,"1,829",435.302,20.7,27.1,20.7 - 27.1,21.1-23.8,,23.9-32.3,,23.9-32.3,,21.1-23.8,117898
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,24.6,"2,091",514.386,21.4,27.9,21.4 - 27.9,22.8-24.6,,22.8-24.6,,22.8-24.6,,24.7-29.7,122162
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,28,"1,821",509.88,24.8,31.4,24.8 - 31.4,24.8-29.2,,19.1-22.5,,24.8-29.2,,22.6-24.7,96555
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,23.1,"1,794",414.414,20.3,26.2,20.3 - 26.2,22.9-25.1,,25.2-29.5,,22.9-25.1,,25.2-29.5,58549
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,3.1,32,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,21.5,"1,744",374.96,18.4,24.9,18.4 - 24.9,20.6-22.1,,20.6-22.1,,25.0-29.2,,22.2-24.9,29382
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,23.9,"1,714",409.646,18.9,29.4,18.9 - 29.4,23.2-25.0,,23.2-25.0,,23.2-25.0,,25.1-28.4,12857
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,3.2,34,"Jul 21 - Aug 2, 2021",07/21/2021,08/02/2021,23.1,"1,652",381.612,19.8,26.6,19.8 - 26.6,21.2-23.8,,23.9-26.7,,26.8-30.6,,26.8-30.6,7106
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,3.2,35,"Aug 4 - Aug 16, 2021",08/04/2021,08/16/2021,25.2,"1,743",439.236,22.3,28.3,22.3 - 28.3,23.9-25.8,,23.9-25.8,,25.9-30.8,,23.9-25.8,17415
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,3.2,36,"Aug 18 - Aug 30, 2021",08/18/2021,08/30/2021,25.2,"1,727",435.204,21.7,28.9,21.7 - 28.9,23.5-26.5,,23.5-26.5,,23.5-26.5,,26.6-31.4,39266
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,24.5,"1,662",407.19,21.4,27.8,21.4 - 27.8,24.4-26.1,,26.2-29.3,,24.4-26.1,,24.4-26.1,69006
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,25.9,"1,434",371.406,22.2,29.8,22.2 - 29.8,24.4-26.1,,26.2-30.8,,21.4-24.3,,24.4-26.1,99473
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,28.3,"1,439",407.237,24.7,32.1,24.7 - 32.1,26.4-33.6,,24.2-26.3,,26.4-33.6,,26.4-33.6,124680
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,3.3,40,"Dec 1 - Dec 13, 2021",12/01/2021,12/13/2021,23.5,"1,624",381.64,20.8,26.5,20.8 - 26.5,20.4-23.5,,20.4-23.5,,23.6-27.0,,20.4-23.5,156206
