Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,date,Time Period End Date,Value,Number of Respondents,value1,LowCI,HighCI,Confidence Interval,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,value2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Rhode Island,Rhode Island,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,23.1,"1,116",257.796,19.4,27.2,19.4 - 27.2,22.6-26.8,,20.6-22.5,,22.6-26.8,,20.6-22.5,2682
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Rhode Island,Rhode Island,2,14,"Sep 2 - Sep 14, 2020",09/02/2020,09/14/2020,22.6,"1,068",241.368,19.4,26.1,19.4 - 26.1,21.3-22.8,,22.9-30.1,,22.9-30.1,,18.9-21.2,2601
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Rhode Island,Rhode Island,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,22.3,"1,033",230.359,17.7,27.4,17.7 - 27.4,21.4-22.9,,21.4-22.9,,21.4-22.9,,23.0-25.9,2517
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Rhode Island,Rhode Island,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,25,981,245.25,20.8,29.6,20.8 - 29.6,22.5-32.1,,13.0-19.0,,22.5-32.1,,22.5-32.1,2759
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Rhode Island,Rhode Island,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,26.2,966,253.092,21.5,31.2,21.5 - 31.2,24.2-27.2,,24.2-27.2,,24.2-27.2,,21.2-24.1,3792
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Rhode Island,Rhode Island,3 (Oct 28 ��� Dec 21),18,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,24.2,631,152.702,20,28.7,20.0 - 28.7,23.9-27.6,,19.8-21.7,,23.9-27.6,,23.9-27.6,6864
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Rhode Island,Rhode Island,3 (Oct 28 ��� Dec 21),19,"Nov 11 - Nov 23, 2020",11/11/2020,11/23/2020,25.3,771,195.063,20.9,30.1,20.9 - 30.1,25.1-31.4,,22.2-25.0,,25.1-31.4,,25.1-31.4,12024
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Rhode Island,Rhode Island,3 (Oct 28 ��� Dec 21),20,"Nov 25 - Dec 7, 2020",11/25/2020,12/07/2020,22.9,793,181.597,18.2,28.2,18.2 - 28.2,20.3-23.3,,25.1-33.0,,20.3-23.3,,23.4-25.0,20075
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Rhode Island,Rhode Island,3 (Oct 28 ��� Dec 21),21,"Dec 9 - Dec 21, 2020",12/09/2020,12/21/2020,25.5,747,190.485,19.2,32.7,19.2 - 32.7,23.2-25.5,,25.6-34.2,,23.2-25.5,,23.2-25.5,28687
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Rhode Island,Rhode Island,3 (Jan 6 ��� Mar 29),22,"Jan 6 - Jan 18, 2021",01/06/2021,01/18/2021,27.7,739,204.703,22.2,33.8,22.2 - 33.8,24.6-28.5,,22.0-24.5,,24.6-28.5,,22.0-24.5,26684
