Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,date,Time Period End Date,Value,Number of Respondents,value1,LowCI,HighCI,Confidence Interval,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,value2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Carolina,South Carolina,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,20.5,"1,549",317.545,17.8,23.4,17.8 - 23.4,18.5-20.5,,20.6-22.5,,22.6-26.8,,20.6-22.5,37838
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Carolina,South Carolina,2,14,"Sep 2 - Sep 14, 2020",09/02/2020,09/14/2020,22.7,"1,680",381.36,19.3,26.4,19.3 - 26.4,21.3-22.8,,22.9-30.1,,22.9-30.1,,18.9-21.2,29216
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Carolina,South Carolina,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,21.3,"1,454",309.702,18.3,24.6,18.3 - 24.6,19.2-21.3,,21.4-22.9,,21.4-22.9,,23.0-25.9,26963
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Carolina,South Carolina,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,22.4,"1,380",309.12,18,27.3,18.0 - 27.3,20.4-22.4,,13.0-19.0,,22.5-32.1,,22.5-32.1,24822
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Carolina,South Carolina,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,19.2,"1,243",238.656,16.3,22.4,16.3 - 22.4,19.2-21.1,,24.2-27.2,,24.2-27.2,,21.2-24.1,23782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Carolina,South Carolina,3 (Oct 28 ��� Dec 21),18,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,23.3,804,187.332,17.9,29.4,17.9 - 29.4,21.8-23.8,,19.8-21.7,,23.9-27.6,,23.9-27.6,26555
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Carolina,South Carolina,3 (Oct 28 ��� Dec 21),19,"Nov 11 - Nov 23, 2020",11/11/2020,11/23/2020,29.3,973,285.089,23.6,35.5,23.6 - 35.5,25.1-31.4,,22.2-25.0,,25.1-31.4,,25.1-31.4,30243
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Carolina,South Carolina,3 (Oct 28 ��� Dec 21),20,"Nov 25 - Dec 7, 2020",11/25/2020,12/07/2020,21.4,993,212.502,17.3,26,17.3 - 26.0,20.3-23.3,,25.1-33.0,,20.3-23.3,,23.4-25.0,38522
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Carolina,South Carolina,3 (Oct 28 ��� Dec 21),21,"Dec 9 - Dec 21, 2020",12/09/2020,12/21/2020,23.1,939,216.909,18.9,27.7,18.9 - 27.7,20.2-23.1,,25.6-34.2,,23.2-25.5,,23.2-25.5,54830
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Carolina,South Carolina,3 (Jan 6 ��� Mar 29),22,"Jan 6 - Jan 18, 2021",01/06/2021,01/18/2021,28.5,975,277.875,23.8,33.6,23.8 - 33.6,24.6-28.5,,22.0-24.5,,24.6-28.5,,22.0-24.5,106897
