Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,date,Time Period End Date,Value,Number of Respondents,value1,LowCI,HighCI,Confidence Interval,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,value2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Dakota,South Dakota,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,17.8,"1,084",192.952,14.2,21.7,14.2 - 21.7,12.2-18.4,,20.6-22.5,,22.6-26.8,,20.6-22.5,2547
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Dakota,South Dakota,2,14,"Sep 2 - Sep 14, 2020",09/02/2020,09/14/2020,20.3,"1,214",246.442,16.9,24.1,16.9 - 24.1,18.9-21.2,,22.9-30.1,,22.9-30.1,,18.9-21.2,4924
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Dakota,South Dakota,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,21.7,"1,130",245.21,17.7,26,17.7 - 26.0,21.4-22.9,,21.4-22.9,,21.4-22.9,,23.0-25.9,6848
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Dakota,South Dakota,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,20.5,"1,089",223.245,16.7,24.8,16.7 - 24.8,20.4-22.4,,13.0-19.0,,22.5-32.1,,22.5-32.1,8640
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Dakota,South Dakota,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,19.1,"1,071",204.561,15.6,22.9,15.6 - 22.9,10.0-19.1,,24.2-27.2,,24.2-27.2,,21.2-24.1,13221
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Dakota,South Dakota,3 (Oct 28 ��� Dec 21),18,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,19.1,647,123.577,15,23.8,15.0 - 23.8,13.7-19.7,,19.8-21.7,,23.9-27.6,,23.9-27.6,20003
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Dakota,South Dakota,3 (Oct 28 ��� Dec 21),19,"Nov 11 - Nov 23, 2020",11/11/2020,11/23/2020,24.2,794,192.148,19.9,28.9,19.9 - 28.9,22.2-25.0,,22.2-25.0,,25.1-31.4,,25.1-31.4,29357
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Dakota,South Dakota,3 (Oct 28 ��� Dec 21),20,"Nov 25 - Dec 7, 2020",11/25/2020,12/07/2020,27.5,741,203.775,21.1,34.6,21.1 - 34.6,25.1-33.0,,25.1-33.0,,20.3-23.3,,23.4-25.0,35412
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Dakota,South Dakota,3 (Oct 28 ��� Dec 21),21,"Dec 9 - Dec 21, 2020",12/09/2020,12/21/2020,18.6,699,130.014,15.4,22.1,15.4 - 22.1,12.5-20.1,,25.6-34.2,,23.2-25.5,,23.2-25.5,30689
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Dakota,South Dakota,3 (Jan 6 ��� Mar 29),22,"Jan 6 - Jan 18, 2021",01/06/2021,01/18/2021,20,701,140.2,15.8,24.7,15.8 - 24.7,15.1-20.0,,22.0-24.5,,24.6-28.5,,22.0-24.5,14646
