Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,date,Time Period End Date,Value,Number of Respondents,value1,LowCI,HighCI,Confidence Interval,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,value2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Tennessee,Tennessee,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,21.2,"1,848",391.776,18.4,24.1,18.4 - 24.1,20.6-22.5,,20.6-22.5,,22.6-26.8,,20.6-22.5,55652
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Tennessee,Tennessee,2,14,"Sep 2 - Sep 14, 2020",09/02/2020,09/14/2020,19.4,"1,822",353.468,17,22,17.0 - 22.0,18.9-21.2,,22.9-30.1,,22.9-30.1,,18.9-21.2,45471
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Tennessee,Tennessee,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,24.1,"1,587",382.467,21.1,27.3,21.1 - 27.3,23.0-25.9,,21.4-22.9,,21.4-22.9,,23.0-25.9,41512
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Tennessee,Tennessee,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,21.5,"1,561",335.615,18.7,24.6,18.7 - 24.6,20.4-22.4,,13.0-19.0,,22.5-32.1,,22.5-32.1,39704
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Tennessee,Tennessee,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,23.2,"1,485",344.52,19.7,27.1,19.7 - 27.1,21.2-24.1,,24.2-27.2,,24.2-27.2,,21.2-24.1,44572
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Tennessee,Tennessee,3 (Oct 28 ��� Dec 21),18,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,21.6,952,205.632,18.4,25.2,18.4 - 25.2,19.8-21.7,,19.8-21.7,,23.9-27.6,,23.9-27.6,57997
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Tennessee,Tennessee,3 (Oct 28 ��� Dec 21),19,"Nov 11 - Nov 23, 2020",11/11/2020,11/23/2020,21.2,"1,161",246.132,17.3,25.5,17.3 - 25.5,20.2-22.1,,22.2-25.0,,25.1-31.4,,25.1-31.4,71842
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Tennessee,Tennessee,3 (Oct 28 ��� Dec 21),20,"Nov 25 - Dec 7, 2020",11/25/2020,12/07/2020,22.2,"1,121",248.862,18.9,25.7,18.9 - 25.7,20.3-23.3,,25.1-33.0,,20.3-23.3,,23.4-25.0,94807
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Tennessee,Tennessee,3 (Oct 28 ��� Dec 21),21,"Dec 9 - Dec 21, 2020",12/09/2020,12/21/2020,26.4,"1,080",285.12,22.5,30.5,22.5 - 30.5,25.6-34.2,,25.6-34.2,,23.2-25.5,,23.2-25.5,128380
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Tennessee,Tennessee,3 (Jan 6 ��� Mar 29),22,"Jan 6 - Jan 18, 2021",01/06/2021,01/18/2021,21.3,"1,122",238.986,18.6,24.2,18.6 - 24.2,20.1-21.9,,22.0-24.5,,24.6-28.5,,22.0-24.5,210784
