Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,date,Time Period End Date,Value,Number of Respondents,value1,LowCI,HighCI,Confidence Interval,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,value2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Texas,Texas,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,16.4,"5,520",905.28,14.4,18.5,14.4 - 18.5,12.2-18.4,,20.6-22.5,,22.6-26.8,,20.6-22.5,215517
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Texas,Texas,2,14,"Sep 2 - Sep 14, 2020",09/02/2020,09/14/2020,18.1,"5,497",994.957,16.3,19.9,16.3 - 19.9,11.2-18.8,,22.9-30.1,,22.9-30.1,,18.9-21.2,170486
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Texas,Texas,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,18.2,"4,927",896.714,16.5,20.1,16.5 - 20.1,10.1-19.1,,21.4-22.9,,21.4-22.9,,23.0-25.9,124540
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Texas,Texas,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,17.9,"4,632",829.128,15.7,20.2,15.7 - 20.2,13.0-19.0,,13.0-19.0,,22.5-32.1,,22.5-32.1,131634
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Texas,Texas,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,18.4,"4,232",778.688,15.8,21.2,15.8 - 21.2,10.0-19.1,,24.2-27.2,,24.2-27.2,,21.2-24.1,136336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Texas,Texas,3 (Oct 28 ��� Dec 21),18,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,19.6,"2,802",549.192,16.5,23,16.5 - 23.0,13.7-19.7,,19.8-21.7,,23.9-27.6,,23.9-27.6,136710
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Texas,Texas,3 (Oct 28 ��� Dec 21),19,"Nov 11 - Nov 23, 2020",11/11/2020,11/23/2020,19.6,"3,408",667.968,17.2,22.2,17.2 - 22.2,13.2-20.1,,22.2-25.0,,25.1-31.4,,25.1-31.4,197334
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Texas,Texas,3 (Oct 28 ��� Dec 21),20,"Nov 25 - Dec 7, 2020",11/25/2020,12/07/2020,17.5,"3,598",629.65,15.2,20,15.2 - 20.0,13.2-20.2,,25.1-33.0,,20.3-23.3,,23.4-25.0,294806
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Texas,Texas,3 (Oct 28 ��� Dec 21),21,"Dec 9 - Dec 21, 2020",12/09/2020,12/21/2020,22.1,"3,369",744.549,18.9,25.5,18.9 - 25.5,20.2-23.1,,25.6-34.2,,23.2-25.5,,23.2-25.5,366353
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Texas,Texas,3 (Jan 6 ��� Mar 29),22,"Jan 6 - Jan 18, 2021",01/06/2021,01/18/2021,17.3,"3,580",619.34,15.3,19.4,15.3 - 19.4,15.1-20.0,,22.0-24.5,,24.6-28.5,,22.0-24.5,462517
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Texas,Texas,3 (Jan 6 ��� Mar 29),23,"Jan 20 - Feb 1, 2021",01/20/2021,02/01/2021,18.6,"4,223",785.478,15.9,21.5,15.9 - 21.5,11.2-20.4,,25.0-29.2,,25.0-29.2,,23.1-24.9,553188
