Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,date,Time Period End Date,Value,Number of Respondents,value1,LowCI,HighCI,Confidence Interval,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,value2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Utah,Utah,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,23.9,"3,013",720.107,21.1,26.8,21.1 - 26.8,22.6-26.8,,20.6-22.5,,22.6-26.8,,20.6-22.5,12612
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Utah,Utah,2,14,"Sep 2 - Sep 14, 2020",09/02/2020,09/14/2020,22.3,"3,184",710.032,19.8,24.9,19.8 - 24.9,21.3-22.8,,22.9-30.1,,22.9-30.1,,18.9-21.2,11059
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Utah,Utah,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,24.2,"2,899",701.558,21.7,27,21.7 - 27.0,23.0-25.9,,21.4-22.9,,21.4-22.9,,23.0-25.9,12984
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Utah,Utah,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,23.3,"2,933",683.389,20.8,26.1,20.8 - 26.1,22.5-32.1,,13.0-19.0,,22.5-32.1,,22.5-32.1,19892
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Utah,Utah,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,23,"2,865",658.95,20.2,26,20.2 - 26.0,21.2-24.1,,24.2-27.2,,24.2-27.2,,21.2-24.1,28958
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Utah,Utah,3 (Oct 28 ��� Dec 21),18,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,24.9,"2,199",547.551,22.3,27.7,22.3 - 27.7,23.9-27.6,,19.8-21.7,,23.9-27.6,,23.9-27.6,36667
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Utah,Utah,3 (Oct 28 ��� Dec 21),19,"Nov 11 - Nov 23, 2020",11/11/2020,11/23/2020,26.4,"2,455",648.12,23.1,30,23.1 - 30.0,25.1-31.4,,22.2-25.0,,25.1-31.4,,25.1-31.4,51901
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Utah,Utah,3 (Oct 28 ��� Dec 21),20,"Nov 25 - Dec 7, 2020",11/25/2020,12/07/2020,28,"2,144",600.32,25,31.1,25.0 - 31.1,25.1-33.0,,25.1-33.0,,20.3-23.3,,23.4-25.0,76674
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Utah,Utah,3 (Oct 28 ��� Dec 21),21,"Dec 9 - Dec 21, 2020",12/09/2020,12/21/2020,24.9,"2,118",527.382,22.1,27.8,22.1 - 27.8,23.2-25.5,,25.6-34.2,,23.2-25.5,,23.2-25.5,85160
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Utah,Utah,3 (Jan 6 ��� Mar 29),22,"Jan 6 - Jan 18, 2021",01/06/2021,01/18/2021,24.9,"2,085",519.165,22.1,27.8,22.1 - 27.8,24.6-28.5,,22.0-24.5,,24.6-28.5,,22.0-24.5,72749
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Utah,Utah,3 (Jan 6 ��� Mar 29),23,"Jan 20 - Feb 1, 2021",01/20/2021,02/01/2021,24.9,"2,314",576.186,22.4,27.5,22.4 - 27.5,23.1-24.9,,25.0-29.2,,25.0-29.2,,23.1-24.9,73223
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Utah,Utah,3 (Jan 6 ��� Mar 29),24,"Feb 3 - Feb 15, 2021",02/03/2021,02/15/2021,24.9,"2,080",517.92,21.8,28.1,21.8 - 28.1,24.7-31.8,,22.9-24.6,,24.7-31.8,,12.1-19.4,61049
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Utah,Utah,3 (Jan 6 ��� Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,27.9,"2,137",596.223,24.7,31.3,24.7 - 31.3,24.8-27.9,,22.7-24.7,,24.8-27.9,,22.7-24.7,37027
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Utah,Utah,3 (Jan 6 ��� Mar 29),26,"Mar 3 - Mar 15, 2021",03/03/2021,03/15/2021,23.4,"2,107",493.038,20.2,26.9,20.2 - 26.9,22.8-23.8,,20.3-22.7,,22.8-23.8,,22.8-23.8,24299
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Utah,Utah,3 (Jan 6 ��� Mar 29),27,"Mar 17 - Mar 29, 2021",03/17/2021,03/29/2021,21.1,"2,072",437.192,18.6,23.8,18.6 - 23.8,19.4-22.2,,19.4-22.2,,24.2-28.7,,24.2-28.7,17433
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Utah,Utah,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,25.1,"1,484",372.484,21.1,29.4,21.1 - 29.4,23.9-32.3,,23.9-32.3,,23.9-32.3,,21.1-23.8,12096
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Utah,Utah,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,21.9,"2,078",455.082,19.8,24.2,19.8 - 24.2,20.2-22.7,,22.8-24.6,,22.8-24.6,,24.7-29.7,11395
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Utah,Utah,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,24.3,"1,956",475.308,21.2,27.7,21.2 - 27.7,22.6-24.7,,19.1-22.5,,24.8-29.2,,22.6-24.7,10604
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Utah,Utah,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,25.4,"1,854",470.916,22.3,28.7,22.3 - 28.7,25.2-29.5,,25.2-29.5,,22.9-25.1,,25.2-29.5,9074
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Utah,Utah,3.1,32,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,26.9,"1,826",491.194,23.6,30.5,23.6 - 30.5,25.0-29.2,,20.6-22.1,,25.0-29.2,,22.2-24.9,7645
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Utah,Utah,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,26.9,"1,829",492.001,23.7,30.3,23.7 - 30.3,25.1-28.4,,23.2-25.0,,23.2-25.0,,25.1-28.4,7736
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Utah,Utah,3.2,34,"Jul 21 - Aug 2, 2021",07/21/2021,08/02/2021,27.9,"1,762",491.598,24.1,31.9,24.1 - 31.9,26.8-30.6,,23.9-26.7,,26.8-30.6,,26.8-30.6,13584
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Utah,Utah,3.2,35,"Aug 4 - Aug 16, 2021",08/04/2021,08/16/2021,27.2,"1,883",512.176,23.6,31.1,23.6 - 31.1,25.9-30.8,,23.9-25.8,,25.9-30.8,,23.9-25.8,19230
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Utah,Utah,3.2,36,"Aug 18 - Aug 30, 2021",08/18/2021,08/30/2021,27.4,"1,862",510.188,24.9,30.1,24.9 - 30.1,26.6-31.4,,23.5-26.5,,23.5-26.5,,26.6-31.4,24529
