Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,date,Time Period End Date,Value,Number of Respondents,value1,LowCI,HighCI,Confidence Interval,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,value2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Vermont,Vermont,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,23.2,"1,162",269.584,18.5,28.5,18.5 - 28.5,22.6-26.8,,20.6-22.5,,22.6-26.8,,20.6-22.5,151
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Vermont,Vermont,2,14,"Sep 2 - Sep 14, 2020",09/02/2020,09/14/2020,22.3,"1,243",277.189,18.9,26.1,18.9 - 26.1,21.3-22.8,,22.9-30.1,,22.9-30.1,,18.9-21.2,181
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Vermont,Vermont,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,24.2,"1,135",274.67,20.2,28.6,20.2 - 28.6,23.0-25.9,,21.4-22.9,,21.4-22.9,,23.0-25.9,167
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Vermont,Vermont,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,19.9,"1,083",215.517,16.8,23.3,16.8 - 23.3,19.1-20.3,,13.0-19.0,,22.5-32.1,,22.5-32.1,120
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Vermont,Vermont,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,18.7,984,184.008,15.4,22.4,15.4 - 22.4,10.0-19.1,,24.2-27.2,,24.2-27.2,,21.2-24.1,170
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Vermont,Vermont,3 (Oct 28 ��� Dec 21),18,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,27.4,628,172.072,21.5,33.9,21.5 - 33.9,23.9-27.6,,19.8-21.7,,23.9-27.6,,23.9-27.6,362
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Vermont,Vermont,3 (Oct 28 ��� Dec 21),19,"Nov 11 - Nov 23, 2020",11/11/2020,11/23/2020,20.7,876,181.332,16.7,25.2,16.7 - 25.2,20.2-22.1,,22.2-25.0,,25.1-31.4,,25.1-31.4,685
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Vermont,Vermont,3 (Oct 28 ��� Dec 21),20,"Nov 25 - Dec 7, 2020",11/25/2020,12/07/2020,27.4,871,238.654,22.3,32.9,22.3 - 32.9,25.1-33.0,,25.1-33.0,,20.3-23.3,,23.4-25.0,1751
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Vermont,Vermont,3 (Oct 28 ��� Dec 21),21,"Dec 9 - Dec 21, 2020",12/09/2020,12/21/2020,24.5,848,207.76,19.6,30,19.6 - 30.0,23.2-25.5,,25.6-34.2,,23.2-25.5,,23.2-25.5,2648
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Vermont,Vermont,3 (Jan 6 ��� Mar 29),22,"Jan 6 - Jan 18, 2021",01/06/2021,01/18/2021,20.7,699,144.693,16.7,25.3,16.7 - 25.3,20.1-21.9,,22.0-24.5,,24.6-28.5,,22.0-24.5,2731
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Vermont,Vermont,3 (Jan 6 ��� Mar 29),23,"Jan 20 - Feb 1, 2021",01/20/2021,02/01/2021,21.3,903,192.339,17.9,25.1,17.9 - 25.1,20.5-23.0,,25.0-29.2,,25.0-29.2,,23.1-24.9,3533
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Vermont,Vermont,3 (Jan 6 ��� Mar 29),24,"Feb 3 - Feb 15, 2021",02/03/2021,02/15/2021,25.6,799,204.544,21,30.7,21.0 - 30.7,24.7-31.8,,22.9-24.6,,24.7-31.8,,12.1-19.4,3880
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Vermont,Vermont,3 (Jan 6 ��� Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,20.7,783,162.081,16.5,25.4,16.5 - 25.4,19.8-22.6,,22.7-24.7,,24.8-27.9,,22.7-24.7,3341
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Vermont,Vermont,3 (Jan 6 ��� Mar 29),26,"Mar 3 - Mar 15, 2021",03/03/2021,03/15/2021,23.8,855,203.49,18.2,30.2,18.2 - 30.2,22.8-23.8,,20.3-22.7,,22.8-23.8,,22.8-23.8,3132
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Vermont,Vermont,3 (Jan 6 ��� Mar 29),27,"Mar 17 - Mar 29, 2021",03/17/2021,03/29/2021,25.4,835,212.09,21.7,29.3,21.7 - 29.3,24.2-28.7,,19.4-22.2,,24.2-28.7,,24.2-28.7,2969
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Vermont,Vermont,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,22.1,793,175.253,16.7,28.4,16.7 - 28.4,21.1-23.8,,23.9-32.3,,23.9-32.3,,21.1-23.8,4283
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Vermont,Vermont,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,23.6,762,179.832,18,29.9,18.0 - 29.9,22.8-24.6,,22.8-24.6,,22.8-24.6,,24.7-29.7,3480
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Vermont,Vermont,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,23.2,745,172.84,18.3,28.8,18.3 - 28.8,22.6-24.7,,19.1-22.5,,24.8-29.2,,22.6-24.7,2118
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Vermont,Vermont,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,25.6,638,163.328,19,33,19.0 - 33.0,25.2-29.5,,25.2-29.5,,22.9-25.1,,25.2-29.5,1374
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Vermont,Vermont,3.1,32,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,24.4,592,144.448,19.4,30.1,19.4 - 30.1,22.2-24.9,,20.6-22.1,,25.0-29.2,,22.2-24.9,641
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Vermont,Vermont,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,27.2,622,169.184,20.1,35.3,20.1 - 35.3,25.1-28.4,,23.2-25.0,,23.2-25.0,,25.1-28.4,215
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Vermont,Vermont,3.2,34,"Jul 21 - Aug 2, 2021",07/21/2021,08/02/2021,21.1,562,118.582,15.6,27.5,15.6 - 27.5,13.1-21.1,,23.9-26.7,,26.8-30.6,,26.8-30.6,218
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Vermont,Vermont,3.2,35,"Aug 4 - Aug 16, 2021",08/04/2021,08/16/2021,29.5,631,186.145,24.3,35,24.3 - 35.0,25.9-30.8,,23.9-25.8,,25.9-30.8,,23.9-25.8,620
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Vermont,Vermont,3.2,36,"Aug 18 - Aug 30, 2021",08/18/2021,08/30/2021,27.4,664,181.936,21.6,33.9,21.6 - 33.9,26.6-31.4,,23.5-26.5,,23.5-26.5,,26.6-31.4,1688
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Vermont,Vermont,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,29.3,552,161.736,21.7,37.9,21.7 - 37.9,26.2-29.3,,26.2-29.3,,24.4-26.1,,24.4-26.1,3044
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Vermont,Vermont,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,25.2,549,138.348,17.9,33.7,17.9 - 33.7,24.4-26.1,,26.2-30.8,,21.4-24.3,,24.4-26.1,3873
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Vermont,Vermont,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,20.6,525,108.15,15.6,26.4,15.6 - 26.4,12.7-20.7,,24.2-26.3,,26.4-33.6,,26.4-33.6,4691
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Vermont,Vermont,3.3,40,"Dec 1 - Dec 13, 2021",12/01/2021,12/13/2021,22.7,727,165.029,19,26.7,19.0 - 26.7,20.4-23.5,,20.4-23.5,,23.6-27.0,,20.4-23.5,9127
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Vermont,Vermont,3.3,41,"Dec 29, 2021 - Jan 10, 2022",12/29/2021,01/10/2022,30.4,902,274.208,26.1,34.9,26.1 - 34.9,26.7-30.9,,24.3-26.6,,24.3-26.6,,20.5-24.2,11997
