Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,date,Time Period End Date,Value,Number of Respondents,value1,LowCI,HighCI,Confidence Interval,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,value2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Virginia,Virginia,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,18.9,"2,758",521.262,16.6,21.5,16.6 - 21.5,18.5-20.5,,20.6-22.5,,22.6-26.8,,20.6-22.5,29489
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Virginia,Virginia,2,14,"Sep 2 - Sep 14, 2020",09/02/2020,09/14/2020,19.5,"2,719",530.205,16.8,22.4,16.8 - 22.4,18.9-21.2,,22.9-30.1,,22.9-30.1,,18.9-21.2,28619
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Virginia,Virginia,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,19.1,"2,463",470.433,16.2,22.4,16.2 - 22.4,10.1-19.1,,21.4-22.9,,21.4-22.9,,23.0-25.9,28441
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Virginia,Virginia,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,19.1,"2,297",438.727,16.7,21.6,16.7 - 21.6,19.1-20.3,,13.0-19.0,,22.5-32.1,,22.5-32.1,26179
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Virginia,Virginia,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,19.3,"2,149",414.757,16.8,22.1,16.8 - 22.1,19.2-21.1,,24.2-27.2,,24.2-27.2,,21.2-24.1,26582
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Virginia,Virginia,3 (Oct 28 ��� Dec 21),18,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,22.2,"1,480",328.56,18.3,26.6,18.3 - 26.6,21.8-23.8,,19.8-21.7,,23.9-27.6,,23.9-27.6,29911
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Virginia,Virginia,3 (Oct 28 ��� Dec 21),19,"Nov 11 - Nov 23, 2020",11/11/2020,11/23/2020,24.1,"1,655",398.855,20.7,27.8,20.7 - 27.8,22.2-25.0,,22.2-25.0,,25.1-31.4,,25.1-31.4,36418
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Virginia,Virginia,3 (Oct 28 ��� Dec 21),20,"Nov 25 - Dec 7, 2020",11/25/2020,12/07/2020,24.6,"1,689",415.494,20.4,29.2,20.4 - 29.2,23.4-25.0,,25.1-33.0,,20.3-23.3,,23.4-25.0,52147
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Virginia,Virginia,3 (Oct 28 ��� Dec 21),21,"Dec 9 - Dec 21, 2020",12/09/2020,12/21/2020,19.9,"1,760",350.24,17.2,22.9,17.2 - 22.9,12.5-20.1,,25.6-34.2,,23.2-25.5,,23.2-25.5,74536
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Virginia,Virginia,3 (Jan 6 ��� Mar 29),22,"Jan 6 - Jan 18, 2021",01/06/2021,01/18/2021,20.9,"1,719",359.271,17.8,24.2,17.8 - 24.2,20.1-21.9,,22.0-24.5,,24.6-28.5,,22.0-24.5,115550
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Virginia,Virginia,3 (Jan 6 ��� Mar 29),23,"Jan 20 - Feb 1, 2021",01/20/2021,02/01/2021,19.5,"2,033",396.435,16.5,22.7,16.5 - 22.7,11.2-20.4,,25.0-29.2,,25.0-29.2,,23.1-24.9,140471
