Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,date,Time Period End Date,Value,Number of Respondents,value1,LowCI,HighCI,Confidence Interval,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,value2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Washington,Washington,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,20.9,"3,694",772.046,19.3,22.6,19.3 - 22.6,20.6-22.5,,20.6-22.5,,22.6-26.8,,20.6-22.5,20323
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Washington,Washington,2,14,"Sep 2 - Sep 14, 2020",09/02/2020,09/14/2020,19.4,"3,888",754.272,17.8,21,17.8 - 21.0,18.9-21.2,,22.9-30.1,,22.9-30.1,,18.9-21.2,16472
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Washington,Washington,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,20.7,"3,675",760.725,18.7,22.8,18.7 - 22.8,19.2-21.3,,21.4-22.9,,21.4-22.9,,23.0-25.9,13402
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Washington,Washington,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,20.6,"3,615",744.69,18.6,22.7,18.6 - 22.7,20.4-22.4,,13.0-19.0,,22.5-32.1,,22.5-32.1,13239
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Washington,Washington,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,22.2,"3,387",751.914,19.8,24.8,19.8 - 24.8,21.2-24.1,,24.2-27.2,,24.2-27.2,,21.2-24.1,15746
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Washington,Washington,3 (Oct 28 ��� Dec 21),18,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,20.8,"2,214",460.512,17.6,24.2,17.6 - 24.2,19.8-21.7,,19.8-21.7,,23.9-27.6,,23.9-27.6,18628
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Washington,Washington,3 (Oct 28 ��� Dec 21),19,"Nov 11 - Nov 23, 2020",11/11/2020,11/23/2020,24.2,"2,666",645.172,21.5,27.1,21.5 - 27.1,22.2-25.0,,22.2-25.0,,25.1-31.4,,25.1-31.4,27658
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Washington,Washington,3 (Oct 28 ��� Dec 21),20,"Nov 25 - Dec 7, 2020",11/25/2020,12/07/2020,20.8,"2,748",571.584,18.4,23.4,18.4 - 23.4,20.3-23.3,,25.1-33.0,,20.3-23.3,,23.4-25.0,50549
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Washington,Washington,3 (Oct 28 ��� Dec 21),21,"Dec 9 - Dec 21, 2020",12/09/2020,12/21/2020,24,"2,552",612.48,21.2,27,21.2 - 27.0,23.2-25.5,,25.6-34.2,,23.2-25.5,,23.2-25.5,71980
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Washington,Washington,3 (Jan 6 ��� Mar 29),22,"Jan 6 - Jan 18, 2021",01/06/2021,01/18/2021,22.2,"2,437",541.014,20,24.5,20.0 - 24.5,22.0-24.5,,22.0-24.5,,24.6-28.5,,22.0-24.5,68404
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Washington,Washington,3 (Jan 6 ��� Mar 29),23,"Jan 20 - Feb 1, 2021",01/20/2021,02/01/2021,20.5,"2,902",594.91,17.8,23.4,17.8 - 23.4,20.5-23.0,,25.0-29.2,,25.0-29.2,,23.1-24.9,65541
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Washington,Washington,3 (Jan 6 ��� Mar 29),24,"Feb 3 - Feb 15, 2021",02/03/2021,02/15/2021,19.7,"2,723",536.431,17.8,21.8,17.8 - 21.8,19.5-22.8,,22.9-24.6,,24.7-31.8,,12.1-19.4,57558
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Washington,Washington,3 (Jan 6 ��� Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,21.5,"2,860",614.9,18.7,24.5,18.7 - 24.5,19.8-22.6,,22.7-24.7,,24.8-27.9,,22.7-24.7,38461
