Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,date,Time Period End Date,Value,Number of Respondents,value1,LowCI,HighCI,Confidence Interval,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,value2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wisconsin,Wisconsin,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,19.7,"1,713",337.461,17.3,22.2,17.3 - 22.2,18.5-20.5,,20.6-22.5,,20.6-22.5,,22.6-26.8,,20.6-22.5,24298
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wisconsin,Wisconsin,2,14,"Sep 2 - Sep 14, 2020",09/02/2020,09/14/2020,24,"1,761",422.64,20.9,27.2,20.9 - 27.2,22.9-30.1,,18.9-21.2,,22.9-30.1,,22.9-30.1,,18.9-21.2,22011
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wisconsin,Wisconsin,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,18.2,"1,569",285.558,15.5,21.2,15.5 - 21.2,10.1-19.1,,19.2-21.3,,21.4-22.9,,21.4-22.9,,23.0-25.9,27016
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wisconsin,Wisconsin,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,19.6,"1,608",315.168,17.1,22.3,17.1 - 22.3,19.1-20.3,,20.4-22.4,,13.0-19.0,,22.5-32.1,,22.5-32.1,47519
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wisconsin,Wisconsin,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,23.4,"1,510",353.34,20,27.1,20.0 - 27.1,21.2-24.1,,21.2-24.1,,24.2-27.2,,24.2-27.2,,21.2-24.1,70144
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wisconsin,Wisconsin,3 (Oct 28 ��� Dec 21),18,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,19.5,971,189.345,15.5,24,15.5 - 24.0,13.7-19.7,,19.8-21.7,,19.8-21.7,,23.9-27.6,,23.9-27.6,94895
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wisconsin,Wisconsin,3 (Oct 28 ��� Dec 21),19,"Nov 11 - Nov 23, 2020",11/11/2020,11/23/2020,21.6,"1,278",276.048,18.6,25,18.6 - 25.0,20.2-22.1,,22.2-25.0,,22.2-25.0,,25.1-31.4,,25.1-31.4,137590
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wisconsin,Wisconsin,3 (Oct 28 ��� Dec 21),20,"Nov 25 - Dec 7, 2020",11/25/2020,12/07/2020,23.3,"1,268",295.444,19.5,27.3,19.5 - 27.3,20.3-23.3,,20.3-23.3,,25.1-33.0,,20.3-23.3,,23.4-25.0,175009
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wisconsin,Wisconsin,3 (Oct 28 ��� Dec 21),21,"Dec 9 - Dec 21, 2020",12/09/2020,12/21/2020,24.9,"1,102",274.398,21.8,28.2,21.8 - 28.2,23.2-25.5,,23.2-25.5,,25.6-34.2,,23.2-25.5,,23.2-25.5,158368
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wisconsin,Wisconsin,3 (Jan 6 ��� Mar 29),22,"Jan 6 - Jan 18, 2021",01/06/2021,01/18/2021,21.8,"1,068",232.824,18.1,25.8,18.1 - 25.8,20.1-21.9,,22.0-24.5,,22.0-24.5,,24.6-28.5,,22.0-24.5,87990
