Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,date,Time Period End Date,Value,Number of Respondents,value1,LowCI,HighCI,Confidence Interval,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,value2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wyoming,Wyoming,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,18.7,"1,154",215.798,15,22.7,15.0 - 22.7,18.5-20.5,,20.6-22.5,,20.6-22.5,,22.6-26.8,,20.6-22.5,1192
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wyoming,Wyoming,2,14,"Sep 2 - Sep 14, 2020",09/02/2020,09/14/2020,18.1,"1,088",196.928,14.8,21.9,14.8 - 21.9,11.2-18.8,,18.9-21.2,,22.9-30.1,,22.9-30.1,,18.9-21.2,1027
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wyoming,Wyoming,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,22.3,"1,003",223.669,18.7,26.2,18.7 - 26.2,21.4-22.9,,19.2-21.3,,21.4-22.9,,21.4-22.9,,23.0-25.9,1203
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wyoming,Wyoming,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,18.5,"1,035",191.475,14.8,22.6,14.8 - 22.6,13.0-19.0,,20.4-22.4,,13.0-19.0,,22.5-32.1,,22.5-32.1,2082
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wyoming,Wyoming,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,19.5,"1,016",198.12,16.3,23.1,16.3 - 23.1,19.2-21.1,,21.2-24.1,,24.2-27.2,,24.2-27.2,,21.2-24.1,3739
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wyoming,Wyoming,3 (Oct 28 ��� Dec 21),18,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,19.4,667,129.398,15.4,23.8,15.4 - 23.8,13.7-19.7,,19.8-21.7,,19.8-21.7,,23.9-27.6,,23.9-27.6,6325
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wyoming,Wyoming,3 (Oct 28 ��� Dec 21),19,"Nov 11 - Nov 23, 2020",11/11/2020,11/23/2020,19.9,826,164.374,16,24.4,16.0 - 24.4,13.2-20.1,,22.2-25.0,,22.2-25.0,,25.1-31.4,,25.1-31.4,11410
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wyoming,Wyoming,3 (Oct 28 ��� Dec 21),20,"Nov 25 - Dec 7, 2020",11/25/2020,12/07/2020,25.1,757,190.007,20.6,29.9,20.6 - 29.9,25.1-33.0,,20.3-23.3,,25.1-33.0,,20.3-23.3,,23.4-25.0,18955
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wyoming,Wyoming,3 (Oct 28 ��� Dec 21),21,"Dec 9 - Dec 21, 2020",12/09/2020,12/21/2020,23.1,720,166.32,17.6,29.3,17.6 - 29.3,20.2-23.1,,23.2-25.5,,25.6-34.2,,23.2-25.5,,23.2-25.5,18643
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wyoming,Wyoming,3 (Jan 6 ��� Mar 29),22,"Jan 6 - Jan 18, 2021",01/06/2021,01/18/2021,20.8,648,134.784,14.7,28,14.7 - 28.0,20.1-21.9,,22.0-24.5,,22.0-24.5,,24.6-28.5,,22.0-24.5,8415
